Date,Open,High,Low,Close,Adjusted_close,Volume
1998-01-20,78.8125,78.8438,77.4063,78.8125,45.0024,1743200
1998-01-21,77.8438,78.375,77.2813,77.8438,44.4492,1839600
1998-01-22,77.1875,77.8594,76.9375,77.1875,44.0745,1662600
1998-01-23,77,77.75,76.3125,77,43.9674,1693700
1998-01-26,77.3125,77.6719,76.9375,77.3125,44.1459,1172800
1998-01-27,78.2188,78.5625,77.0781,78.2188,44.6634,1454500
1998-01-28,79.125,79.2344,78.2188,79.125,45.1808,1181200
1998-01-29,79.4063,80.25,78.8906,79.4063,45.3414,1468500
1998-01-30,79.2344,79.9375,78.9688,79.2344,45.2433,1095600
1998-02-02,81.0156,81.3125,80.4063,81.0156,46.2604,955600
1998-02-03,81.6563,81.6719,80.6563,81.6563,46.6262,619400
1998-02-04,81.2188,81.6563,80.8125,81.2188,46.3764,753200
1998-02-05,81.2344,81.9063,80.7344,81.2344,46.3853,1067600
1998-02-06,82.1094,82.1719,81.3594,82.1094,46.8849,1069700
1998-02-09,81.7813,82.25,81.4375,81.7813,46.6976,515900
1998-02-10,83.1563,83.3438,81.9219,83.1563,47.4827,892100
1998-02-11,83.1563,83.3906,82.8438,83.1563,47.4827,515000
1998-02-12,83.6875,84.1094,82.375,83.6875,47.786,1065000
1998-02-13,83.6406,83.8438,83.1719,83.6406,47.7593,596700
1998-02-17,84.0625,84.7188,83.8906,84.0625,48.0002,840600
1998-02-18,84.625,84.7031,83.8438,84.625,48.3214,773000
1998-02-19,83.8281,84.7031,83.8281,83.8281,47.8663,804800
1998-02-20,84.2813,84.4688,83.3125,84.2813,48.1251,540600
1998-02-23,84.25,85,83.9688,84.25,48.1072,639200
1998-02-24,84,84.4063,83.5313,84,47.9645,702700
1998-02-25,84.6875,85.1563,84.0781,84.6875,48.357,687400
1998-02-26,85.1563,85.2188,84.4063,85.1563,48.6247,439800
1998-02-27,85.5938,85.9531,84.8906,85.5938,48.8745,451300
1998-03-02,85.7188,85.8594,85.2813,85.7188,48.9459,1062800
1998-03-03,86.1094,86.125,85.1875,86.1094,49.1689,596600
1998-03-04,85.5313,85.875,85.1094,85.5313,48.8388,691700
1998-03-05,84.7813,85.2656,84.2188,84.7813,48.4106,778300
1998-03-06,86.0313,86.0313,85.0938,86.0313,49.1243,933100
1998-03-09,85.875,86.5781,85.5938,85.875,49.0351,685300
1998-03-10,86.7188,86.75,86.1563,86.7188,49.5169,563700
1998-03-11,87,87.2344,86.7344,87,49.6775,406600
1998-03-12,86.8906,87.0625,86.3125,86.8906,49.615,576700
1998-03-13,86.1563,87.25,86.0938,86.1563,49.1957,458900
1998-03-16,87.4688,87.4688,86.3438,87.4688,49.9452,733000
1998-03-17,87.7656,87.7813,87.0781,87.7656,50.1147,499900
1998-03-18,87.9844,88.0156,87.2813,87.9844,50.2396,410900
1998-03-19,88.2344,88.2969,87.8438,88.2344,50.3823,730000
1998-03-20,89.1563,89.4063,88.2813,89.1563,50.9087,754300
1998-03-23,88.4844,89.1875,88.3906,88.4844,50.5251,551600
1998-03-24,89.4375,89.8594,88.9219,89.4375,51.0693,470300
1998-03-25,88.875,90.0625,88.25,88.875,50.7481,966200
1998-03-26,88.625,89.2969,88.5156,88.625,50.6054,412800
1998-03-27,88.2656,89.4063,87.875,88.2656,50.4002,584100
1998-03-30,88.1563,88.5625,87.6875,88.1563,50.3377,562400
1998-03-31,88.1875,89.3125,88.0625,88.1875,50.3556,620000
1998-04-01,88.9375,89.2031,87.7188,88.9375,50.7838,373700
1998-04-02,90.1563,90.25,88.8281,90.1563,51.4797,440600
1998-04-03,90.0938,90.5781,89.8125,90.0938,51.444,493300
