Date,Open,High,Low,Close,Adjusted_close,Volume
2000-05-19,75.4062,75.4062,74.3125,74.3125,49.1347,8100
2000-05-22,74.6094,74.6094,72.0781,74.0938,48.9901,751300
2000-05-23,74.125,74.125,72.8438,72.8438,48.1636,271200
2000-05-24,72.8906,73.4688,72,73.4688,48.5769,17900
2000-05-25,74.2656,74.3594,72.9219,72.9219,48.2153,2100
2000-05-26,73.125,73.125,72.4844,72.4844,47.926,1800
2000-05-30,73.5781,73.9531,73.5781,73.9531,48.8971,600
2000-06-01,75.6562,76.6875,75.6562,76.2656,50.4261,400
2000-06-02,78.5938,78.7031,78.375,78.375,51.8208,5700
2000-06-05,78.0781,78.3438,78,78,51.5729,21000
2000-06-06,77.9531,78.0469,77.5312,77.5312,51.2629,3200
2000-06-07,77.5,78.2812,77.5,78.0938,51.6349,2700
2000-06-08,78.0312,78.0312,77.5,77.5,51.2423,600
2000-06-09,78.0781,78.0781,77.75,77.7656,51.4179,1300
2000-06-12,77.8281,77.8438,77.4531,77.4531,51.2113,1100
2000-06-13,76.5781,77.9062,76.5781,77.9062,51.5109,1100
2000-06-14,78.7031,78.7031,78.0156,78.0156,51.5832,1000
2000-06-16,78.3125,78.3125,78.1562,78.1562,51.6761,20200
2000-06-19,78.7188,78.7188,77.9219,77.9219,51.5212,500
2000-06-20,78.6094,78.8906,78.4375,78.4375,51.8621,500
2000-06-21,78.3438,78.5938,78.3125,78.5938,52.0066,1900
2000-06-22,78.3281,78.3281,77,77,50.952,13600
2000-06-23,77.25,77.25,76.4688,76.4688,50.6005,13500
2000-06-26,77.1094,77.1094,76.9375,76.9375,50.9106,12400
2000-06-27,77.2969,77.375,77.2656,77.2656,51.1277,300
2000-06-28,77.0938,77.75,77.0938,77.4688,51.2622,18000
2000-06-29,76.3906,76.3906,76.3906,76.3906,50.5487,5000
2000-06-30,76.6875,76.6875,76.6875,76.6875,50.7452,100
2000-07-03,77.0625,77.5312,77.0625,77.5312,51.3035,1500
2000-07-05,77.4688,77.4688,76.5312,76.5312,50.6417,6200
2000-07-06,76.5,77.1719,76.2188,77.1719,51.0657,2100
2000-07-07,77.7812,78.5,77.7812,78.4062,51.8825,1200
2000-07-10,78.4531,78.5312,78.2344,78.4219,51.8928,2100
2000-07-11,78.8281,78.8594,78.8281,78.8594,52.1823,1400
2000-07-12,79.0625,79.2812,79.0625,79.2812,52.4615,700
2000-07-13,79.5625,79.6875,79.5625,79.6719,52.72,29700
2000-07-14,79.9219,80.1094,79.5469,80.1094,53.0095,3000
2000-07-17,80.2188,80.5625,80.2188,80.5625,53.3093,1200
2000-07-18,79.9375,79.9375,79.4062,79.5469,52.6373,12100
2000-07-19,79.1875,79.3438,78.5938,78.75,52.11,2700
2000-07-20,78.9688,78.9688,78.9688,78.9688,52.2547,100
