Date,Open,High,Low,Close,Adjusted_close,Volume
2000-05-26,55.5,55.7344,55.4375,55.5,32.4552,9500
2000-05-30,55.8906,56.1406,55.8906,56.1406,32.8298,1200
2000-05-31,56.5156,56.8281,56.5156,56.5469,33.0674,25500
2000-06-01,56.8125,57.3281,56.8125,57.0625,33.3689,15300
2000-06-02,58.375,58.5156,58.0938,58.0938,33.972,14200
2000-06-05,58,58,57.7188,57.7812,33.7892,1600
2000-06-06,57.6406,57.6406,57.5156,57.625,33.6979,2100
2000-06-07,57.6719,57.8438,57.6719,57.7188,33.7527,20400
2000-06-08,57.7812,57.7812,57.3438,57.3438,33.5334,19200
2000-06-09,57.7344,57.7344,57.3281,57.3281,33.5242,4100
2000-06-12,57.4062,57.4688,57.4062,57.4688,33.6065,4200
2000-06-13,57.1406,57.6094,57.1406,57.5469,33.6522,20400
2000-06-14,57.7812,57.9219,57.625,57.6562,33.7161,115000
2000-06-15,57.8438,57.8438,57.0625,57.0938,33.3872,30800
2000-06-16,57.25,57.25,56.25,56.25,32.8938,2100
2000-06-19,56.2812,56.7656,56.2812,56.6094,33.104,13900
2000-06-20,56.4375,56.625,56,56,32.7476,19500
2000-06-21,56.0625,56.25,55.9688,55.9688,32.7695,18000
2000-06-22,56.0625,56.0625,55.5469,55.5938,32.5499,8200
2000-06-23,55.8281,55.9219,55.5,55.5,32.495,1700
2000-06-26,55.6719,56.0156,55.5156,55.6094,32.5591,13900
2000-06-27,56,56,55.5938,55.5938,32.5499,14400
2000-06-28,55.7188,55.9062,55.375,55.4062,32.4401,5800
2000-06-29,55,55.2031,55,55.2031,32.3212,300
2000-06-30,55.3125,55.3281,54.8125,54.8125,32.0925,7700
2000-07-03,54.375,54.4375,54.375,54.4375,31.8729,800
2000-07-05,55,55.1719,54.9219,54.9219,32.1565,1100
2000-07-06,54.9844,55.125,54.8125,54.8125,32.0925,12500
2000-07-07,54.1094,55.6406,54.1094,55.4375,32.4584,5500
2000-07-10,55.6875,55.7656,55.5,55.5,32.495,64200
2000-07-11,55.4844,55.9688,55.3594,55.7344,32.6323,33600
2000-07-12,56.1406,56.1406,55.7656,55.7656,32.6505,1000
2000-07-13,56.125,56.125,55.6562,55.875,32.7146,32300
2000-07-14,56.125,56.125,55.8594,55.9531,32.7603,13500
2000-07-17,55.8438,55.8594,55.3906,55.3906,32.431,4800
2000-07-18,55.375,55.625,55.25,55.25,32.3486,32700
2000-07-19,55.4375,55.6562,55.3125,55.3125,32.3852,22700
2000-07-20,55.5156,55.7656,55.5156,55.7344,32.6323,38800
2000-07-21,55.7812,55.7812,55.25,55.3125,32.3852,9100
2000-07-24,55.3125,55.4062,55,55,32.2023,4300
2000-07-25,55.0938,55.5938,55.0938,55.1094,32.2663,38700
2000-07-26,55.125,55.2812,54.75,54.9062,32.1473,19100
2000-07-27,54.9375,55.2188,54.9375,55.1875,32.312,15900
2000-07-28,55.125,55.125,54.25,54.25,31.7631,4500
2000-07-31,54.75,54.9219,54.5938,54.7344,32.0468,10100
2000-08-01,54.7656,55.3281,54.7656,55.1875,32.312,20400
2000-08-02,55.4375,55.7969,55.4375,55.75,32.6414,11400
2000-08-03,55.375,55.9531,55.375,55.8906,32.7237,80600
2000-08-04,56.125,56.5469,56.125,56.5469,33.108,7400
2000-08-07,56.75,57.0938,56.625,57.0781,33.419,10600
2000-08-08,56.7656,56.9062,56.7656,56.9062,33.3183,6800
2000-08-09,57,57,56.5,56.5625,33.1171,30200
2000-08-10,56.7188,56.7812,56.6875,56.6875,33.1903,1700
2000-08-11,56.9688,57.375,56.9688,57.25,33.5196,6000
2000-08-14,57.2188,57.75,57.2188,57.75,33.8124,126100
2000-08-15,57.75,57.75,57.375,57.5625,33.7026,243900
2000-08-16,57.5,57.6562,57.0625,57.0625,33.4099,51800
2000-08-17,57.4688,57.4844,57.3438,57.4375,33.6294,34100
2000-08-18,57.3438,57.3594,57.1562,57.3594,33.5837,20900
2000-08-21,57.375,57.5312,57.3594,57.5312,33.6843,3000
2000-08-22,57.625,57.875,57.625,57.7188,33.7941,10100
2000-08-23,57.5,57.5625,57.4688,57.5625,33.7026,22200
2000-08-24,57.5,57.5,57.2812,57.4375,33.6294,7000
2000-08-25,57.4375,57.4375,57.2812,57.375,33.5928,2400
2000-08-28,57.5,57.9062,57.4688,57.6562,33.7575,53700
2000-08-29,57.625,57.625,57.2812,57.375,33.5928,6700
2000-08-30,57.375,57.4219,57.1875,57.4219,33.6203,16400
2000-08-31,58.125,58.125,58,58,33.9588,3500
2000-09-01,57.9375,58,57.625,57.875,33.8856,28600
2000-09-05,57.8438,58.0312,57.8438,57.9375,33.9222,1600
2000-09-06,58.3438,58.375,58.0938,58.0938,34.0137,5700
2000-09-07,58,58.0625,57.8438,57.9688,33.9405,26400
2000-09-08,57.9688,58.3438,57.9688,58.3438,34.16,13100
2000-09-11,58.9688,58.9688,58.5312,58.75,34.3979,28100
2000-09-12,58.7812,58.875,58.6875,58.8438,34.4528,90600
2000-09-13,58.5,58.9062,58.5,58.625,34.3247,98600
2000-09-14,58.625,58.625,58.3438,58.4062,34.1966,38500
2000-09-15,58,58,57.9688,57.9688,33.9405,3700
2000-09-18,57.7812,57.7812,57.125,57.125,33.4464,27700
2000-09-19,57.0312,57.25,57,57,33.3733,4500
2000-09-20,56.8438,56.8438,55.875,56.1875,33.0059,22400
2000-09-21,56.0312,56.0312,55.8125,56.0312,32.9141,54500
2000-09-22,56.375,56.8438,56.0938,56.7812,33.3546,106700
2000-09-25,56.875,57.0312,56.7812,56.9219,33.4373,5300
2000-09-26,57,57.125,56.7812,56.8125,33.373,7900
2000-09-27,56.8125,56.875,56.625,56.8438,33.3914,8200
2000-09-28,57,58.3438,57,58.1562,34.1623,73300
2000-09-29,58.1562,58.5,58.0312,58.0312,34.0889,26600
2000-10-02,57.9062,58.2188,57.875,58.1875,34.1807,33000
2000-10-03,58.375,58.9062,58.25,58.25,34.2174,15400
2000-10-04,58.4062,58.625,58.125,58.2812,34.2358,3600
2000-10-05,58.4375,58.5938,58.3125,58.375,34.2909,177700
2000-10-06,58.5,58.5312,57.0625,57.3125,33.6667,17700
2000-10-09,57.5,57.5,57.125,57.25,33.63,251300
2000-10-10,57.3125,57.4062,56.6562,56.875,33.4097,14200
2000-10-11,56.5,56.6562,55.8125,56.3125,33.0793,239900
2000-10-12,56.125,56.125,54.875,54.875,32.2349,132400
2000-10-13,54.875,55.7656,54.8438,55.7656,32.7581,34200
2000-10-16,55.9219,56.0312,55.7812,55.7969,32.7764,27000
2000-10-17,56.125,56.125,54.9219,55.2344,32.446,31800
2000-10-18,54.25,55.3594,54,55.0312,32.3266,9400
2000-10-19,55.5312,55.9844,55.375,55.9531,32.8682,83400
2000-10-20,56.1719,56.4531,56.0156,56.3281,33.0885,14300
2000-10-23,56.3281,56.5625,56.3281,56.375,33.116,9100
2000-10-24,57.0625,57.2031,56.7031,56.7031,33.3088,15600
2000-10-25,56.5312,57.2656,56.5,56.5,33.1895,9700
2000-10-26,56.7812,56.7812,55.9844,56.375,33.116,184300
2000-10-27,56.375,57.4219,56.375,57.4219,33.731,19000
2000-10-30,57.625,59.0625,57.625,58.8906,34.5938,36400
2000-10-31,58.9375,59.5938,58.7656,59.5312,34.9701,17400
2000-11-01,59.4219,59.4219,58.8438,59.0156,34.6672,12500
2000-11-02,59.3438,59.3438,58.875,58.875,34.5846,30100
2000-11-03,58.7344,59.125,58.7344,58.9531,34.6305,6600
2000-11-06,59.0938,59.4531,59.0938,59.25,34.8049,85000
2000-11-07,59.2969,59.2969,59.0156,59.1562,34.7498,43600
2000-11-08,59.1719,59.4062,59.1719,59.25,34.8049,19000
2000-11-09,58.75,59.0312,58.1094,58.6875,34.4744,68200
2000-11-10,58.7656,58.9844,58.3125,58.3906,34.3,109300
2000-11-13,57.625,58.1719,57.2656,57.7969,33.9513,6200
2000-11-14,58.0938,58.5938,58.0938,58.2812,34.2358,1139400
2000-11-15,58.125,58.4062,57.8281,58.1562,34.1623,44400
2000-11-16,58.375,58.5,58.1562,58.1719,34.1716,11600
2000-11-17,58.125,58.2969,57.5781,57.8281,33.9696,66900
2000-11-20,57.625,57.625,57,57,33.4832,33200
2000-11-21,57,57.4375,56.5938,57.2969,33.6576,18100
2000-11-22,56.9375,56.9375,56.5469,56.625,33.2629,17900
2000-11-24,56.9531,56.9844,56.9375,56.9375,33.4465,2700
2000-11-27,57.2188,57.4219,56.9844,57.25,33.63,6600
2000-11-28,57.125,57.625,57.125,57.3125,33.6667,117100
2000-11-29,57.1562,57.8594,57.1562,57.625,33.8503,49000
2000-11-30,57.7344,57.7344,56.5781,57.2812,33.6484,85700
2000-12-01,57.4688,57.6875,57.0625,57.0625,33.5199,38400
2000-12-04,57.1406,57.8125,57.1406,57.75,33.9237,22800
2000-12-05,58,58.7031,57.8281,58.7031,34.4836,78100
2000-12-06,58.7031,58.9375,57.875,57.875,33.9972,38300
2000-12-07,58.2656,58.5156,58.0938,58.1406,34.1532,53300
2000-12-08,58.5,58.8594,58.3125,58.5781,34.4102,73600
2000-12-11,58.3125,59.0938,58.3125,58.7031,34.4836,6800
2000-12-12,58.875,59.0312,58.6875,58.9375,34.6213,64600
2000-12-13,59.2031,59.2031,58.7031,58.7031,34.5928,257600
2000-12-14,58.375,58.375,57.8438,57.8906,34.114,125500
2000-12-15,57.5938,57.8125,57.2188,57.5,33.8838,55600
2000-12-18,58.25,58.5,58.1094,58.25,34.3258,187300
2000-12-19,58.0625,58.875,57.8125,57.9219,34.1324,194300
2000-12-20,57.3125,57.4375,56.8125,57.125,33.6628,45600
2000-12-21,56.8125,57.5156,56.6719,57.4688,33.8654,121800
2000-12-22,57.4375,58.0781,57.4375,58.0781,34.2245,72600
2000-12-26,58.3438,59.1719,58.3438,59.1562,34.8598,1222800
2000-12-27,59.0781,59.75,59.0781,59.6406,35.1452,130400
2000-12-28,59.4375,60.2656,59.4375,59.9375,35.3202,59600
