,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2000-05-26,91.0625,91.4375,90.5625,91.4375,33.4009,76800
1,2000-05-30,92.75,94.8125,92.75,94.8125,34.6337,57600
2,2000-05-31,95.125,96.375,95.125,95.1563,34.7593,36000
3,2000-06-01,97.1094,97.3125,97.1094,97.3125,35.5469,7000
4,2000-06-02,101.7188,102.375,101.7188,102.375,37.3962,29400
5,2000-06-05,102.125,103.125,101.875,102.0,37.2592,48400
6,2000-06-06,103.6094,104.8125,102.6875,103.0,37.6245,151800
7,2000-06-07,102.375,103.125,101.4375,103.125,37.6701,131000
8,2000-06-08,104.25,104.25,102.875,102.875,37.5788,91400
9,2000-06-09,103.875,104.6875,103.8125,104.6875,38.2409,41600
10,2000-06-12,105.0,105.0,101.5,101.5781,37.1051,85200
11,2000-06-13,101.3281,102.875,100.375,102.875,37.5788,168200
12,2000-06-14,103.7188,103.7188,102.375,102.375,37.3962,43200
13,2000-06-15,101.75,102.5,100.7656,102.5,37.4418,26800
14,2000-06-16,102.9375,103.0,101.9375,101.9375,37.2364,30200
15,2000-06-19,102.5,104.5,102.0312,104.5,38.1724,59200
16,2000-06-20,104.6562,105.3438,104.25,105.1875,38.4235,47000
17,2000-06-21,104.25,105.875,104.25,105.6875,38.6282,66800
18,2000-06-22,106.0,106.0,102.6875,102.6875,37.5317,139200
19,2000-06-23,103.5,103.5,101.0,101.8125,37.2119,235800
20,2000-06-26,102.2188,103.0625,101.75,103.0625,37.6688,93600
21,2000-06-27,103.2188,104.125,101.4375,101.4375,37.0749,112800
22,2000-06-28,101.875,104.375,101.875,104.0,38.0115,170600
23,2000-06-29,103.5,103.6875,102.0625,102.375,37.4175,212200
24,2000-06-30,102.4375,103.3594,101.5938,103.3594,37.7773,1171800
25,2000-07-03,103.125,104.8125,103.0,104.8125,38.3084,15800
26,2000-07-05,104.2188,104.25,103.2656,103.625,37.8744,138800
27,2000-07-06,103.6562,104.8438,102.6875,104.8438,38.3199,154600
28,2000-07-07,104.8594,105.9062,104.8594,105.5,38.5597,71800
29,2000-07-10,105.4375,106.5625,105.4375,106.1875,38.811,44800
30,2000-07-11,106.0,106.5938,105.6875,106.0625,38.7653,253200
31,2000-07-12,106.625,108.1875,106.5,108.1875,39.542,35000
32,2000-07-13,108.2812,108.5312,108.0,108.5312,39.6676,102600
33,2000-07-14,109.0938,109.0938,107.75,108.625,39.7019,54800
34,2000-07-17,108.7188,109.1875,108.4375,109.0,39.8389,46600
35,2000-07-18,108.2812,108.2812,107.125,107.125,39.1536,235400
36,2000-07-19,106.7812,106.7812,105.25,105.25,38.4683,35400
37,2000-07-20,106.25,107.0,106.25,107.0,39.1079,150400
38,2000-07-21,106.375,106.375,104.0625,104.0625,38.0343,150600
39,2000-07-24,104.625,104.625,102.3281,102.5469,37.4804,37000
40,2000-07-25,103.3594,103.3594,102.125,102.75,37.5546,36800
41,2000-07-26,102.0,102.5625,100.9375,102.5625,37.4861,15800
42,2000-07-27,102.3594,102.3594,99.75,99.75,36.4581,275000
43,2000-07-28,100.3281,100.3281,97.75,98.0,35.8185,171600
44,2000-07-31,98.5,100.5,97.37,100.5,36.7322,166000
45,2000-08-01,99.75,100.125,99.2813,99.8438,36.4924,263400
46,2000-08-02,99.25,100.5625,99.0,100.0,36.5495,388600
47,2000-08-03,98.0625,100.125,98.0625,100.125,36.5952,1079800
48,2000-08-04,101.125,101.1562,99.8438,100.4375,36.7094,570400
49,2000-08-07,100.8125,102.2969,100.8125,102.2969,37.389,88200
50,2000-08-08,102.0,102.3125,101.8125,101.8125,37.2119,49600
51,2000-08-09,102.5625,102.5625,101.0781,101.0781,36.9435,23000
52,2000-08-10,101.0938,101.1875,100.1875,100.5,36.7322,43000
53,2000-08-11,99.5,102.25,99.5,102.25,37.3718,176000
54,2000-08-14,101.9375,103.3125,101.875,103.3125,37.7602,56800
55,2000-08-15,103.0938,103.25,101.8125,101.8125,37.2119,189200
56,2000-08-16,102.25,103.0625,101.875,102.3125,37.3947,219400
57,2000-08-17,102.6875,103.6875,102.4375,103.25,37.7373,358800
58,2000-08-18,103.625,103.875,102.875,103.0938,37.6802,52200
59,2000-08-21,103.75,103.8438,102.8125,103.4688,37.8173,129200
60,2000-08-22,103.5312,104.1875,103.3125,103.3125,37.7602,195600
61,2000-08-23,103.1875,103.5,102.75,103.1562,37.703,153000
62,2000-08-24,103.7188,105.25,103.7188,104.6875,38.2627,276200
63,2000-08-25,104.75,105.375,104.4375,105.125,38.4226,208600
64,2000-08-28,105.625,106.25,105.125,105.3125,38.4912,156000
65,2000-08-29,105.5625,106.3125,105.25,106.3125,38.8567,140200
66,2000-08-30,106.2188,106.8125,105.8438,106.4375,38.9023,619000
67,2000-08-31,106.8125,108.3125,106.8125,107.5,39.2907,151200
68,2000-09-01,108.0,108.5625,107.4844,108.375,39.6105,186600
69,2000-09-05,108.2344,108.5625,107.625,107.625,39.3364,110400
70,2000-09-06,108.125,108.125,107.0,107.1562,39.165,217600
71,2000-09-07,107.625,108.8125,107.625,108.75,39.7476,213800
72,2000-09-08,108.2031,108.4375,106.875,106.875,39.0622,128600
73,2000-09-11,107.4219,107.8281,106.625,107.0,39.1079,314600
74,2000-09-12,107.625,107.625,106.5,106.6562,38.9823,93000
75,2000-09-13,106.1875,107.375,106.1875,107.1875,39.1765,81200
76,2000-09-14,107.6562,108.2188,107.1719,107.8125,39.4049,114000
77,2000-09-15,107.25,107.375,105.625,105.8125,38.6739,67000
78,2000-09-18,106.2812,106.2812,103.0156,103.3125,37.7602,201400
79,2000-09-19,103.9688,105.375,103.2656,105.0,38.3769,53600
80,2000-09-20,104.625,104.625,103.25,103.8125,38.0719,40400
81,2000-09-21,104.0,104.0,101.875,101.875,37.3614,206200
82,2000-09-22,100.0,103.1875,100.0,103.1875,37.8427,127600
83,2000-09-25,104.3594,104.3594,103.25,103.3125,37.8886,113800
84,2000-09-26,103.25,103.25,101.3125,101.8438,37.3499,64800
85,2000-09-27,102.3125,102.8125,101.0,101.375,37.178,43600
86,2000-09-28,101.625,104.3125,101.5625,104.125,38.1865,121000
87,2000-09-29,104.0312,104.3906,103.625,103.625,38.0032,130000
88,2000-10-02,104.4062,104.4062,101.9375,101.9375,37.3843,169600
