,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2001-11-16,51.65,51.66,51.65,51.66,30.0145,2000
1,2001-11-23,52.37,52.37,52.37,52.37,30.427,100
2,2001-11-27,52.43,52.43,52.43,52.43,30.4619,100
3,2001-12-05,52.6,52.6,52.6,52.6,30.5606,15000
4,2001-12-06,53.0,53.0,53.0,53.0,30.793,15000
5,2001-12-18,51.49,51.49,51.49,51.49,29.9157,200
6,2001-12-19,51.89,51.98,51.89,51.98,30.2004,2400
7,2001-12-20,51.77,51.77,51.73,51.73,30.0552,700
8,2001-12-24,51.44,51.44,51.44,51.44,29.9117,700
9,2001-12-27,51.78,51.78,51.78,51.78,30.1094,100
10,2001-12-28,52.29,52.34,52.29,52.3,30.4117,1500
11,2002-01-02,52.12,52.23,52.12,52.23,30.371,700
12,2002-01-04,52.99,52.99,52.99,52.99,30.813,100
13,2002-01-07,53.04,53.04,52.86,52.89,30.7548,2200
14,2002-01-08,52.18,52.18,52.09,52.09,30.2896,300
15,2002-01-09,52.31,52.43,52.31,52.43,30.4873,300
16,2002-01-11,52.19,52.19,52.19,52.19,30.3478,500
17,2002-01-14,51.35,51.35,51.33,51.33,29.8477,700
18,2002-01-15,51.61,51.61,51.61,51.61,30.0105,200
19,2002-01-17,51.74,51.74,51.74,51.74,30.0861,200
20,2002-01-23,51.51,51.51,51.51,51.51,29.9524,1000
21,2002-01-24,51.9,51.98,51.9,51.98,30.2257,800
22,2002-01-28,52.03,52.03,51.4,51.4,29.8884,5900
23,2002-01-29,51.25,51.25,50.07,50.2,29.1906,15100
24,2002-01-30,49.57,49.81,49.57,49.81,28.9638,400
25,2002-02-04,49.43,49.43,49.32,49.32,28.6789,300
26,2002-02-11,49.94,49.94,49.94,49.94,29.0394,200
27,2002-02-14,50.73,50.73,50.56,50.56,29.4,300
28,2002-02-15,49.98,49.98,49.98,49.98,29.0627,100
29,2002-02-22,48.09,48.09,47.91,47.91,27.859,200
30,2002-02-26,49.45,49.45,49.29,49.29,28.6615,200
31,2002-03-04,51.49,52.29,51.49,52.29,30.4059,13600
32,2002-03-05,52.6,52.6,52.6,52.6,30.5862,700
33,2002-03-06,52.84,52.99,52.84,52.99,30.813,400
34,2002-03-08,53.2,53.2,53.06,53.06,30.8537,5100
35,2002-03-11,53.26,53.37,53.26,53.37,31.0339,300
36,2002-03-14,52.86,53.2,52.86,53.0,30.8188,1500
37,2002-03-15,53.2,53.2,53.2,53.2,30.9351,5000
38,2002-03-18,54.14,54.14,54.14,54.14,31.4817,600
39,2002-03-19,54.16,54.29,54.16,54.2,31.5166,3500
40,2002-03-20,53.65,53.73,53.64,53.64,31.1909,700
41,2002-03-21,53.19,53.19,53.19,53.19,30.9293,100
42,2002-03-25,53.05,53.05,53.05,53.05,30.8479,800
43,2002-03-26,52.98,52.98,52.98,52.98,30.8072,100
44,2002-03-27,53.01,53.1,53.01,53.1,30.8769,900
45,2002-04-04,52.95,52.95,52.95,52.95,30.7897,1000
46,2002-04-05,53.44,53.44,53.44,53.44,31.0746,100
47,2002-04-08,52.9,52.99,52.85,52.99,30.813,700
48,2002-04-15,53.51,53.51,53.51,53.51,31.1153,100
49,2002-04-16,53.76,53.76,53.76,53.76,31.2607,300
50,2002-04-18,54.29,54.29,54.29,54.29,31.5689,900
51,2002-04-19,54.56,54.56,54.56,54.56,31.7259,1100
52,2002-04-22,54.3,54.3,54.28,54.28,31.5631,200
53,2002-04-24,53.95,54.18,53.95,53.99,31.3945,1400
54,2002-04-25,53.74,53.74,53.74,53.74,31.2491,1100
55,2002-04-26,53.49,53.49,53.49,53.49,31.1037,100
56,2002-04-29,53.06,53.25,53.06,53.19,30.9293,800
57,2002-05-01,53.42,53.42,53.4,53.4,31.0514,2700
58,2002-05-07,53.35,53.8,53.35,53.8,31.284,400
59,2002-05-09,53.89,53.89,53.81,53.81,31.2898,400
60,2002-05-10,53.45,53.5,53.45,53.49,31.1037,17600
61,2002-05-13,53.3,53.3,53.3,53.3,30.9932,200
62,2002-05-14,54.19,54.2,54.16,54.2,31.5166,900
63,2002-05-20,54.49,54.49,54.49,54.49,31.6852,300
64,2002-05-22,53.99,54.04,53.99,53.99,31.3945,500
65,2002-05-23,54.2,54.2,54.01,54.1,31.4584,12600
66,2002-05-24,54.5,54.5,54.29,54.29,31.5689,3800
67,2002-05-28,53.85,53.85,53.84,53.84,31.3072,200
68,2002-05-30,53.89,53.89,53.89,53.89,31.3363,3500
69,2002-06-03,53.99,53.99,53.99,53.99,31.3945,100
70,2002-06-07,51.9,51.9,51.89,51.89,30.1733,200
71,2002-06-11,52.41,52.41,52.41,52.41,30.4757,100
72,2002-06-12,51.54,51.54,51.3,51.3,29.8303,700
73,2002-06-13,51.55,51.55,51.55,51.55,29.9756,900
74,2002-06-14,49.94,49.94,49.94,49.94,29.0394,100
75,2002-06-17,51.49,51.89,51.49,51.89,30.1733,500
76,2002-06-18,51.44,51.44,51.44,51.44,29.9117,200
77,2002-06-19,50.94,50.94,50.94,50.94,29.6209,100
78,2002-06-21,50.59,50.59,50.12,50.12,29.1441,700
79,2002-06-24,50.03,50.03,49.75,49.75,28.929,30400
80,2002-06-25,50.45,50.45,50.3,50.3,29.2488,12100
81,2002-06-26,49.0,49.0,49.0,49.0,28.4928,200
82,2002-06-27,49.76,49.76,49.76,49.76,28.9348,8000
83,2002-06-28,51.04,51.04,51.03,51.03,29.6733,400
84,2002-07-03,48.26,48.39,48.26,48.26,28.0625,400
85,2002-07-05,49.74,50.5,49.74,50.5,29.3651,500
86,2002-07-09,50.6,50.6,50.6,50.6,29.4232,200
87,2002-07-10,49.5,49.5,48.29,48.29,28.08,600
88,2002-07-11,47.55,47.55,47.46,47.55,27.6497,900
89,2002-07-12,47.39,47.39,47.39,47.39,27.5566,500
90,2002-07-15,46.15,46.55,46.0,46.55,27.0682,400
91,2002-07-16,46.54,46.54,46.36,46.36,26.9577,200
92,2002-07-17,47.1,47.1,46.54,46.9,27.2717,11900
93,2002-07-19,44.6,44.6,44.6,44.6,25.9343,1000
94,2002-07-22,44.44,44.44,42.9,43.24,25.1435,2000
95,2002-07-24,39.31,40.81,39.31,40.81,23.7305,300
96,2002-07-29,44.48,45.7,44.48,45.7,26.5739,3600
97,2002-07-30,45.35,45.35,45.35,45.35,26.3704,2100
98,2002-08-01,45.0,45.0,44.89,44.89,26.1029,500
99,2002-08-02,43.99,43.99,43.8,43.8,25.4691,3500
100,2002-08-06,43.09,43.75,43.09,43.75,25.44,1900
101,2002-08-08,44.64,45.24,44.64,45.24,26.3064,700
102,2002-08-12,45.26,45.84,45.26,45.6,26.5158,2900
103,2002-08-13,46.04,46.04,44.86,44.86,26.0855,1900
104,2002-08-14,44.95,46.65,44.95,46.65,27.1263,5100
105,2002-08-15,46.69,46.99,46.69,46.69,27.1496,2000
106,2002-08-16,46.6,46.6,46.6,46.6,27.0973,200
107,2002-08-19,47.84,48.09,47.84,48.09,27.9637,700
108,2002-08-20,47.39,47.39,47.2,47.2,27.4462,7600
109,2002-08-21,47.74,47.98,47.74,47.98,27.8997,17000
110,2002-08-22,48.25,48.59,48.25,48.55,28.2312,600
111,2002-08-23,47.54,47.54,47.01,47.05,27.3589,17100
112,2002-08-26,47.36,47.99,47.35,47.99,27.9055,18500
113,2002-08-27,47.51,47.51,47.51,47.51,27.6264,10400
114,2002-08-28,47.11,47.11,47.11,47.11,27.3938,500
115,2002-08-29,46.59,46.75,46.59,46.74,27.1787,17700
116,2002-08-30,46.46,46.46,46.46,46.46,27.0159,9800
117,2002-09-03,45.41,45.41,44.21,44.21,25.7075,1100
118,2002-09-04,44.26,45.04,44.26,45.04,26.1902,18100
119,2002-09-05,44.75,44.75,44.1,44.1,25.6436,10900
120,2002-09-06,44.96,45.2,44.96,45.09,26.2192,38900
121,2002-09-09,44.7,45.69,44.7,45.69,26.5681,1600
122,2002-09-10,45.16,45.16,45.05,45.05,26.196,8700
123,2002-09-11,45.7,45.7,45.1,45.1,26.225,6900
124,2002-09-12,44.39,44.39,44.39,44.39,25.8122,500
125,2002-09-13,44.14,44.24,44.14,44.24,25.725,4700
126,2002-09-16,43.59,43.81,43.59,43.71,25.4168,3900
127,2002-09-17,44.29,44.29,44.04,44.04,25.6087,1700
128,2002-09-19,41.75,41.75,41.7,41.7,24.248,5100
129,2002-09-20,41.4,41.4,41.05,41.34,24.0387,11200
