,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2000-06-28,59.6875,59.6875,59.6875,59.6875,12.4122,800
1,2000-06-30,59.4375,59.4375,59.4375,59.4375,12.3602,800
2,2000-07-06,60.75,60.75,60.75,60.75,12.6332,400
3,2000-07-07,62.2188,62.2188,62.2188,62.2188,12.9386,2000
4,2000-07-14,63.7188,63.7188,63.7188,63.7188,13.2505,3200
5,2000-07-17,63.5,63.5,63.5,63.5,13.205,1600
6,2000-07-19,63.0,63.0,62.9688,62.9688,13.0945,4000
7,2000-07-26,61.4375,61.4375,61.4375,61.4375,12.7761,400
8,2000-07-27,61.5313,61.5313,61.5313,61.5313,12.7956,400
9,2000-07-28,59.8906,59.8906,59.8906,59.8906,12.4544,2000
10,2000-07-31,59.625,59.625,59.625,59.625,12.3992,2000
11,2000-08-08,62.875,62.875,62.875,62.875,13.0751,400
12,2000-08-16,60.875,60.875,60.625,60.625,12.6072,3600
13,2000-08-17,60.3438,60.3438,60.3438,60.3438,12.5487,400
14,2000-08-21,60.3125,60.3125,60.3125,60.3125,12.5422,400
15,2000-08-23,60.75,60.75,60.75,60.75,12.6332,800
16,2000-08-24,60.4688,60.5313,60.4688,60.5313,12.5877,1600
17,2000-08-28,60.5938,60.5938,60.5938,60.5938,12.6007,2000
18,2000-08-30,60.0938,60.0938,60.0938,60.0938,12.4967,400
19,2000-08-31,59.5,59.6875,59.5,59.6875,12.4122,1200
20,2000-09-05,60.0,60.0,60.0,60.0,12.4772,400
21,2000-09-07,60.0313,60.0313,60.0313,60.0313,12.4837,2000
22,2000-09-11,61.0781,61.0781,61.0781,61.0781,12.7014,1200
23,2000-09-12,61.0156,61.0156,61.0156,61.0156,12.6884,400
24,2000-09-14,61.2188,61.2188,61.2188,61.2188,12.7306,14400
25,2000-09-15,61.0,61.0,61.0,61.0,12.6851,400
26,2000-09-18,60.5,60.5,60.5,60.5,12.5812,2000
27,2000-09-19,59.0,59.1875,59.0,59.0313,12.2757,1600
28,2000-09-20,58.5313,58.5313,58.5313,58.5313,12.1718,1200
29,2000-09-21,58.9688,59.1563,58.9688,59.1563,12.3017,1200
30,2000-09-22,58.25,58.625,58.25,58.625,12.1913,2400
31,2000-09-27,57.9844,57.9844,57.9844,57.9844,12.058,400
32,2000-09-28,58.0938,58.9063,58.0938,58.875,12.2432,6000
33,2000-09-29,58.625,58.625,58.1875,58.1875,12.1003,800
34,2000-10-02,58.0625,58.0625,57.7969,57.7969,12.019,800
35,2000-10-04,59.0625,59.0625,59.0625,59.0625,12.2822,400
36,2000-10-09,57.3281,57.3438,57.3281,57.3438,11.9248,800
37,2000-10-11,56.5,56.5,55.25,55.25,11.4894,16800
38,2000-10-12,52.5313,52.5313,52.5313,52.5313,10.924,800
39,2000-10-13,52.0,52.0,52.0,52.0,10.8136,400
40,2000-10-16,53.8125,53.875,53.6719,53.6719,11.1612,3200
41,2000-10-17,53.75,53.75,51.6875,51.6875,10.7486,1600
42,2000-10-20,54.4375,54.4375,54.4375,54.4375,11.3239,800
43,2000-10-24,55.5625,55.75,55.1875,55.1875,11.4799,1600
44,2000-10-25,54.6875,54.6875,54.5,54.5,11.3369,800
45,2000-10-26,53.8438,53.9063,53.8438,53.9063,11.2134,1600
46,2000-10-27,54.0625,54.625,54.0625,54.625,11.3629,2000
47,2000-10-30,55.8125,56.0313,55.8125,56.0313,11.6554,2400
48,2000-10-31,57.0625,57.9375,57.0,57.9375,12.0519,4400
49,2000-11-01,58.0,58.2813,58.0,58.2813,12.1234,2400
50,2000-11-02,58.2813,58.8438,57.9688,58.8438,12.2404,12800
51,2000-11-03,58.9844,58.9844,58.9844,58.9844,12.2697,800
52,2000-11-06,58.5,58.5,58.5,58.5,12.1689,800
53,2000-11-07,58.5938,58.5938,58.4688,58.4688,12.1624,3600
54,2000-11-08,59.0,59.0,58.6563,58.6875,12.2079,4800
55,2000-11-09,56.3594,56.3594,55.6875,55.6875,11.5839,5200
56,2000-11-10,54.8125,54.875,54.5938,54.5938,11.3564,7200
57,2000-11-13,54.0313,54.7188,53.7656,54.4375,11.3239,30400
58,2000-11-14,55.4375,56.1875,55.4375,56.0,11.6489,5600
59,2000-11-15,55.8281,56.4063,55.8281,56.4063,11.7334,134000
60,2000-11-16,56.125,56.125,55.7813,55.7813,11.6034,12800
61,2000-11-17,55.4375,55.5938,55.4375,55.5938,11.5644,3200
62,2000-11-20,55.4375,55.4375,54.4063,54.4063,11.3174,13600
63,2000-11-21,53.8438,53.9063,53.75,53.9063,11.2134,6400
64,2000-11-22,53.25,53.5938,53.25,53.5938,11.1484,20000
65,2000-11-24,53.4688,53.8438,53.4688,53.8438,11.2004,1600
66,2000-11-27,54.9688,55.125,54.9688,55.125,11.4669,71200
67,2000-11-28,55.0,55.0,54.5,54.5,11.3369,29600
68,2000-11-29,54.6563,54.7188,54.375,54.5625,11.3499,23200
69,2000-11-30,53.5313,53.9063,53.375,53.9063,11.2134,6000
70,2000-12-01,54.5625,55.0,54.4688,54.4688,11.3304,5600
71,2000-12-04,54.0938,54.5625,54.0938,54.25,11.2849,7600
72,2000-12-05,54.9063,56.2813,54.9063,56.2813,11.7074,11600
73,2000-12-06,55.9375,56.25,55.9063,55.9063,11.6294,65600
74,2000-12-07,55.5625,55.625,55.1875,55.2813,11.4994,11600
75,2000-12-08,55.5625,56.125,55.5625,56.0313,11.6554,3200
76,2000-12-11,55.9375,55.9375,55.6875,55.6875,11.5839,1600
77,2000-12-12,55.6875,56.375,55.6875,56.2188,11.6944,22000
78,2000-12-13,56.2188,56.25,55.9688,55.9688,11.6424,23600
79,2000-12-14,55.9063,55.9063,55.2188,55.2188,11.4864,52400
80,2000-12-15,54.875,55.875,54.25,54.7188,11.3824,26000
81,2000-12-18,54.9688,54.9688,54.3125,54.3125,11.2979,15600
82,2000-12-19,54.3438,54.3438,53.625,53.625,11.1549,16400
83,2000-12-20,51.9063,51.9063,51.3438,51.625,10.7888,23200
84,2000-12-21,52.4375,52.4375,52.3438,52.3438,10.939,1600
85,2000-12-22,53.375,53.8438,53.0,53.4844,11.1774,31200
86,2000-12-26,52.9375,53.25,52.8438,53.25,11.1284,58400
87,2000-12-27,53.625,54.5625,53.625,54.5625,11.4027,30000
88,2000-12-28,54.7813,55.375,54.7813,55.375,11.5725,26000
89,2000-12-29,55.625,55.9688,55.3125,55.6875,11.6378,32000
90,2001-01-02,55.25,55.25,54.2188,54.25,11.3374,48800
91,2001-01-03,54.2813,56.9375,54.2813,56.9375,11.899,36800
92,2001-01-04,59.0938,59.9375,59.0938,59.625,12.4607,22400
93,2001-01-05,58.6875,58.7188,57.625,57.625,12.0427,102800
94,2001-01-08,57.125,57.375,56.25,56.25,11.7553,12800
95,2001-01-09,57.4375,57.4375,57.0625,57.1563,11.9447,12800
96,2001-01-10,56.7813,57.25,56.625,56.9375,11.899,14400
97,2001-01-11,58.1875,58.6563,58.0,58.4375,12.2125,31600
98,2001-01-12,58.7813,59.4375,58.7813,59.3438,12.4019,15600
99,2001-01-16,59.2188,60.1563,59.2188,60.1563,12.5717,87600
100,2001-01-17,60.6563,60.9375,60.3438,60.5625,12.6566,52400
101,2001-01-18,60.1563,60.2969,59.875,60.0625,12.5521,36800
102,2001-01-19,59.375,59.625,59.0,59.25,12.3823,20800
103,2001-01-22,59.7813,60.0625,59.4375,59.75,12.4868,97600
104,2001-01-23,60.0,60.5938,59.6719,60.4375,12.6305,140000
105,2001-01-24,60.4375,61.0313,60.4375,60.625,12.6697,40000
106,2001-01-25,60.4375,61.4688,60.3125,61.1563,12.7807,29200
107,2001-01-26,60.5,60.5625,59.8594,60.3125,12.6043,28000
108,2001-01-29,60.4,61.38,60.33,61.34,12.8191,15200
109,2001-01-30,60.93,61.66,60.66,61.5,12.8525,43600
110,2001-01-31,62.15,62.8,61.9,62.05,12.9675,132800
111,2001-02-01,61.76,61.76,61.17,61.71,12.8964,20800
112,2001-02-02,61.3,61.41,60.3,60.3,12.6017,35600
113,2001-02-05,60.5,60.5,60.2,60.33,12.608,9200
114,2001-02-06,60.8,61.25,60.54,60.71,12.6874,18000
115,2001-02-07,61.09,61.09,60.7,60.7,12.6853,16800
116,2001-02-08,60.91,60.91,59.78,59.78,12.4931,9200
117,2001-02-09,59.55,59.81,58.78,58.78,12.2841,20400
118,2001-02-12,59.2,60.15,59.2,60.15,12.5704,9600
119,2001-02-13,60.4,60.92,60.25,60.25,12.5913,31200
120,2001-02-14,60.05,60.28,59.68,60.17,12.5746,19200
121,2001-02-15,60.53,60.74,60.16,60.59,12.6623,14000
122,2001-02-16,59.92,60.19,59.65,60.01,12.5411,11200
123,2001-02-20,60.31,60.71,59.99,59.99,12.5369,18000
124,2001-02-21,59.5,59.6,58.26,58.26,12.1754,304400
125,2001-02-22,57.86,57.86,56.9,57.44,12.004,35200
126,2001-02-23,57.04,57.23,56.02,57.2,11.9539,28800
127,2001-02-26,58.3,59.2,58.05,58.9,12.3092,27200
128,2001-02-27,58.8,59.3,58.34,58.34,12.1921,11200
129,2001-02-28,58.0,58.2,57.96,58.02,12.1252,4800
130,2001-03-01,57.3,57.3,56.47,57.11,11.9351,188000
131,2001-03-02,56.2,57.6,56.04,57.5,12.0166,7200
132,2001-03-05,57.18,57.74,57.18,57.33,11.981,8000
133,2001-03-06,58.3,58.9,58.24,58.68,12.2632,20400
134,2001-03-07,58.9,59.3,58.72,58.86,12.3008,15600
135,2001-03-08,59.05,59.76,59.05,59.53,12.4408,11200
136,2001-03-09,58.76,58.77,58.2,58.68,12.2681,18000
137,2001-03-12,57.25,57.4,55.72,55.72,11.6493,34400
138,2001-03-13,55.76,56.0,55.16,55.88,11.6827,15200
139,2001-03-14,54.88,56.06,54.25,54.84,11.4653,23200
140,2001-03-15,55.7,55.7,55.3,55.65,11.6346,29600
141,2001-03-16,55.55,55.55,54.54,54.8,11.4569,9200
142,2001-03-19,54.73,55.2,54.4,55.2,11.5406,6800
143,2001-03-20,55.6,56.48,55.0,55.05,11.5092,11600
144,2001-03-21,54.4,54.64,53.58,53.92,11.273,12800
145,2001-03-22,52.8,53.0,50.96,52.76,11.0304,32800
146,2001-03-23,52.65,53.35,52.2,53.35,11.1538,11600
147,2001-03-26,54.15,54.69,54.1,54.49,11.3921,14800
148,2001-03-27,54.15,55.59,54.15,55.59,11.6221,16800
149,2001-03-28,54.95,55.07,54.65,55.0,11.4988,77200
150,2001-03-29,54.15,55.15,54.15,54.81,11.459,17200
151,2001-03-30,55.15,55.33,54.43,55.15,11.5301,11200
152,2001-04-02,55.1,55.1,53.95,54.3,11.3524,13600
153,2001-04-03,53.1,53.1,52.02,52.41,10.9573,12400
154,2001-04-04,52.62,53.15,52.08,52.5,10.9761,36000
155,2001-04-05,53.69,54.9,53.58,54.55,11.4047,20000
156,2001-04-06,54.05,54.48,54.05,54.37,11.367,14400
