,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2000-06-16,62.875,63.594,62.875,63.1565,2.937,55500
1,2000-06-19,62.7655,64.0625,62.7655,64.0625,2.9791,9000
2,2000-06-20,64.0,64.0,63.4375,63.4375,2.95,24000
3,2000-06-21,64.0,64.453,64.0,64.453,2.9973,44500
4,2000-06-22,63.9375,63.9375,62.5625,62.5625,2.9093,22000
5,2000-06-23,62.9065,62.9065,62.5315,62.7185,2.9166,3000
6,2000-06-26,63.0625,63.5315,63.0625,63.375,2.9471,5000
7,2000-06-27,64.031,64.281,63.7345,63.953,2.974,138500
8,2000-06-28,64.0,64.375,62.219,64.375,2.9936,103000
9,2000-06-29,65.25,65.281,64.75,65.281,3.0358,4000
10,2000-06-30,65.0315,65.125,64.625,64.75,3.0111,441000
11,2000-07-03,65.8125,66.0315,65.5,66.0,3.0692,15000
12,2000-07-05,66.25,67.25,66.25,66.9375,3.1128,13000
13,2000-07-06,66.8125,66.8125,66.25,66.5625,3.0954,20500
14,2000-07-07,66.8125,67.344,66.75,66.8435,3.1084,156500
15,2000-07-10,67.0935,68.0,67.0,67.5315,3.1404,23500
16,2000-07-11,67.781,68.6875,67.5625,68.3435,3.1782,128500
17,2000-07-12,68.3435,68.3435,67.3125,67.6565,3.1462,560000
18,2000-07-13,66.75,66.75,64.75,64.75,3.0111,66500
19,2000-07-14,64.5,64.5,62.9065,63.4845,2.9522,55000
20,2000-07-17,63.7345,65.906,63.7345,65.5,3.0459,94000
21,2000-07-18,65.5,65.5,64.8125,64.844,3.0154,10000
22,2000-07-19,65.0315,65.0315,63.375,63.656,2.9603,37000
23,2000-07-20,62.9375,63.25,62.75,62.75,2.9181,79500
24,2000-07-21,63.0,63.7185,63.0,63.656,2.9603,114500
25,2000-07-24,64.3125,65.0315,64.3125,64.75,3.0111,11000
26,2000-07-25,64.1875,64.1875,62.75,62.75,2.9181,16000
27,2000-07-26,62.8125,63.406,62.4845,62.625,2.9123,15500
28,2000-07-27,62.969,63.8595,62.8125,63.8595,2.9697,17500
29,2000-07-28,63.625,63.7185,63.219,63.4375,2.9501,15000
30,2000-07-31,63.4375,63.4375,62.4375,62.5,2.9065,35000
31,2000-08-01,63.9685,64.906,63.625,64.7815,3.0126,183500
