Date,Open,High,Low,Close,Adjusted_close,Volume
2011-05-05,24.88,24.95,24.73,24.79,18.2572,42929
2011-05-06,25.08,25.08,24.87,24.92,18.3529,12549
2011-05-09,24.9,24.92,24.9,24.92,18.3529,600
2011-05-10,25.19,25.27,25.1868,25.25,18.596,9676
2011-05-11,25.23,25.24,25.06,25.11,18.4929,28845
2011-05-12,25.16,25.448,25.15,25.448,18.7418,8156
2011-05-13,25.44,25.44,25.259,25.336,18.6593,13053
2011-05-16,25.37,25.39,25.28,25.28,18.6181,10154
2011-05-17,25.24,25.36,25.24,25.36,18.677,16860
2011-05-18,25.46,25.46,25.32,25.32,18.6475,2000
2011-05-19,25.58,25.58,25.41,25.4328,18.7306,6788
2011-05-20,25.55,25.55,25.35,25.44,18.7359,15700
2011-05-23,25.27,25.27,25.1872,25.1872,18.5497,10924
2011-05-24,25.34,25.34,25.164,25.2,18.5592,10484
2011-05-25,25.17,25.17,24.98,25.15,18.5223,12678
2011-05-26,25.12,25.16,24.99,25.13,18.5076,9211
2011-05-27,25.29,25.29,25.178,25.23,18.5813,16563
2011-05-31,25.43,25.43,25.307,25.41,18.7138,4429
2011-06-01,25.42,25.42,25.11,25.11,18.4929,33335
2011-06-02,25.17,25.17,24.95,24.96,18.3824,6067
2011-06-03,24.75,24.84,24.68,24.72,18.2056,10913
2011-06-06,24.77,24.77,24.6,24.61,18.1246,9265
2011-06-07,24.75,24.76,24.66,24.72,18.2056,2793
2011-06-08,24.7,24.7,24.5601,24.658,18.16,810
2011-06-09,24.73,24.82,24.62,24.75,18.2277,595160
2011-06-10,24.75,24.75,24.5,24.5,18.0436,104858
2011-06-13,24.41,24.64,24.41,24.57,18.0952,19314
2011-06-14,24.77,24.79,24.627,24.73,18.213,25144
2011-06-15,24.55,24.58,24.3001,24.35,17.9932,25470
2011-06-16,24.48,24.52,24.39,24.48,18.0892,19586
2011-06-17,24.76,24.76,24.566,24.61,18.1853,44200
2011-06-20,24.62,24.78,24.6,24.75,18.2888,34527
2011-06-21,24.92,24.92,24.7699,24.86,18.37,29882
2011-06-22,24.86,24.86,24.7691,24.7764,18.3083,197602
2011-06-23,24.64,24.64,24.36,24.49,18.0966,99574
2011-06-24,24.62,24.68,24.475,24.515,18.1151,17025
2011-06-27,24.57,24.68,24.54,24.64,18.2075,63804
2011-06-28,24.73,24.78,24.7128,24.78,18.3109,71859
2011-06-29,24.94,24.94,24.8,24.9,18.3996,630613
2011-06-30,25,25.04,24.89,25.03,18.4957,198008
2011-07-01,25.09,25.32,25.04,25.31,18.7026,245158
2011-07-05,25.32,25.33,25.19,25.21,18.6287,461212
2011-07-06,25.21,25.3464,25.21,25.33,18.7173,261827
2011-07-07,25.54,25.54,25.4,25.4436,18.8013,106741
2011-07-08,25.24,25.33,25.24,25.33,18.7173,34196
2011-07-11,25.16,25.16,25.04,25.07,18.5252,14094
2011-07-12,25.03,25.25,25.03,25.12,18.5622,19505
2011-07-13,25.19,25.27,25.05,25.05,18.5104,30708
2011-07-14,25.18,25.2,24.95,24.974,18.4543,68582
2011-07-15,24.93,24.93,24.8,24.8,18.4045,9427
2011-07-18,24.7001,24.71,24.5801,24.68,18.3155,2262613
2011-07-19,24.81,24.95,24.76,24.92,18.4936,538062
2011-07-20,24.97,24.99,24.87,24.91,18.4862,60117
2011-07-21,25.09,25.25,25.0262,25.24,18.7311,105296
2011-07-22,25.24,25.24,25.08,25.11,18.6346,78244
2011-07-25,24.96,25.08,24.95,25.01,18.5604,15983
2011-07-26,25.03,25.03,24.9,24.9,18.4788,73801
2011-07-27,24.92,24.92,24.63,24.66,18.3007,637025
2011-07-28,24.59,24.69,24.47,24.47,18.1596,27079
2011-07-29,24.35,24.51,24.25,24.34,18.0632,41229
2011-08-01,24.56,24.56,24.05,24.23,17.9815,139049
2011-08-02,24.13,24.1737,23.84,23.85,17.6995,35279
2011-08-03,23.81,23.91,23.61,23.91,17.7441,140775
2011-08-04,23.8,23.8,23.09,23.09,17.1355,210109
2011-08-05,23.41,23.4828,22.86,23.35,17.3285,728353
2011-08-08,23.26,23.26,22.11,22.17,16.4528,219664
2011-08-09,22.45,23.47,21.74,22.92,17.0094,181910
2011-08-10,22.72,22.84,22.19,22.22,16.4899,355245
2011-08-11,22.34,23.32,22.33,23.07,17.1207,143351
2011-08-12,23.27,23.33,22.606,23.22,17.232,100198
2011-08-15,23.22,23.59,23.22,23.59,17.5551,97231
2011-08-16,23.43,23.58,23.33,23.53,17.5104,89513
2011-08-17,23.6,23.806,23.5,23.62,17.5774,569779
2011-08-18,23.26,23.28,22.87,23.09,17.183,223796
2011-08-19,22.9,23.22,22.899,22.91,17.049,2433810
2011-08-22,23.28,23.28,22.91,22.9299,17.0638,1067299
2011-08-23,23.08,23.49,22.96,23.49,17.4807,539292
2011-08-24,23.5,23.83,23.43,23.81,17.7188,165790
2011-08-25,23.9,23.9,23.379,23.43,17.436,487100
2011-08-26,23.34,23.71,23.0762,23.6,17.5625,95389
2011-08-29,25.12,25.22,23.85,24.13,17.9569,380235
2011-08-30,24.07,24.28,23.9459,24.17,17.9867,212809
2011-08-31,24.35,24.38,24.16,24.29,18.076,193447
2011-09-01,24.33,24.438,24.09,24.11,17.942,277266
2011-09-02,23.81,23.93,23.72,23.72,17.6518,519495
2011-09-06,23.23,23.61,23.17,23.6,17.5625,181639
2011-09-07,23.85,24.03,23.76,24.03,17.8825,156386
2011-09-08,23.96,24.17,23.93,23.93,17.8081,81543
2011-09-09,23.75,23.75,23.2901,23.4,17.4137,598756
2011-09-12,23.21,23.53,23.082,23.4999,17.488,1428120
2011-09-13,23.58,23.6899,23.4,23.65,17.5997,668368
2011-09-14,23.684,24.13,23.57,23.92,17.8006,58361
2011-09-15,24.04,24.15,23.9055,24.13,18.0095,89326
2011-09-16,24.27,24.38,24.2,24.3,18.1364,188435
