Date,Open,High,Low,Close,Adjusted_close,Volume
2007-07-26,48.48,48.67,47.5,47.9,28.8465,101000
2007-07-27,47.78,48.04,47.15,47.17,28.4069,579000
2007-07-30,47.87,48.14,47.66,47.96,28.8827,298400
2007-07-31,48.51,48.67,47.9,47.9,28.8465,210400
2007-08-01,47.68,48.1,47.24,48.1,28.967,353821
2007-08-02,47.92,48.14,47.66,47.96,28.8827,251800
2007-08-03,47.82,47.82,47.14,47.17,28.4069,309600
2007-08-06,47.29,47.9,47.25,47.89,28.8405,232100
2007-08-07,47.4,48.24,47.4,47.96,28.8827,193900
2007-08-08,48.4,48.9,48.38,48.68,29.3163,137700
2007-08-09,47.46,47.85,47.2,47.22,28.437,195800
2007-08-10,47.25,47.25,46.19,46.59,28.0576,291300
2007-08-13,47.03,47.11,46.67,46.67,28.1058,133700
2007-08-14,46.91,46.91,46.05,46.07,27.7445,64200
2007-08-15,45.49,45.9888,44.97,44.98,27.088,345800
2007-08-16,44.73,44.79,43.69,44.77,26.9616,552000
2007-08-17,45.7,45.7,44.88,45.4,27.341,403200
2007-08-20,45.63,45.63,45,45.46,27.3771,672200
2007-08-21,45.33,45.6346,45.33,45.45,27.3711,41200
2007-08-22,46.18,46.59,46.18,46.59,28.0576,96800
2007-08-23,46.95,47.01,46.5,46.79,28.1781,329600
2007-08-24,46.81,47.54,46.79,47.54,28.6297,112700
2007-08-27,47.3,47.3,47.07,47.07,28.3467,111200
2007-08-28,46.76,46.76,45.9,45.92,27.6541,256100
2007-08-29,46.55,47.15,46.37,47.14,28.3889,177400
2007-08-30,46.43,47.13,46.43,46.8,28.1841,173300
2007-08-31,47.76,47.98,47.5328,47.86,28.8225,684900
2007-09-04,47.62,48.18,47.47,48.09,28.961,136700
2007-09-05,47.35,47.41,47.13,47.26,28.4611,90600
2007-09-06,47.39,47.66,47.19,47.54,28.6297,278000
2007-09-07,47.01,47.07,46.74,46.88,28.2323,197200
2007-09-10,47,47.0434,46.36,46.69,28.1179,176800
2007-09-11,47.16,47.54,47.16,47.53,28.6237,685900
2007-09-12,47.3,47.67,47.25,47.49,28.5996,56200
2007-09-13,47.73,47.914,47.65,47.75,28.7562,137700
2007-09-14,47.28,47.63,47.23,47.53,28.6237,164700
2007-09-17,47.13,47.19,46.7,46.86,28.2202,99400
2007-09-18,47.12,48.48,47.06,48.35,29.1175,147200
2007-09-19,48.83,49.13,48.77,48.86,29.4247,115050
2007-09-20,48.89,49.1,48.74,48.76,29.3645,378600
2007-09-21,49.13,49.2646,48.99,49.11,29.5752,212800
2007-09-24,49.34,49.34,49.01,49.06,29.5451,165400
2007-09-25,48.94,49.3,48.89,49.3,29.6897,56100
2007-09-26,49.54,49.59,49.34,49.48,29.7981,94000
2007-09-27,50.06,50.08,49.83,50.07,30.1534,191900
2007-09-28,50.14,50.31,49.89,50.14,30.1955,258000
2007-10-01,50.14,50.91,50.14,50.86,30.6291,640000
2007-10-02,50.77,50.78,50.48,50.7,30.5328,375000
2007-10-03,50.62,50.65,50.39,50.42,30.3641,581100
2007-10-04,50.63,50.7146,50.42,50.64,30.4966,315600
2007-10-05,50.86,51.25,50.85,51.13,30.7917,405800
2007-10-08,50.79,50.8,50.55,50.64,30.4966,245200
2007-10-09,50.76,51.27,50.76,51.27,30.876,183200
2007-10-10,51.04,51.1925,50.92,51.12,30.7857,202700
2007-10-11,51.68,51.92,51.28,51.37,30.9363,154000
2007-10-12,51.3,51.63,51.22,51.52,31.0266,180400
2007-10-15,51.51,51.52,50.94,51.08,30.7616,299500
2007-10-16,50.57,50.6146,50.3078,50.38,30.3401,476200
2007-10-17,51.04,51.07,50.57,50.9,30.6532,266400
2007-10-18,50.85,51.12,50.79,51.02,30.7255,165100
2007-10-19,50.74,50.75,49.92,49.95,30.0811,365600
2007-10-22,49.55,49.8,49.39,49.78,29.9787,493200
2007-10-23,50.47,50.61,50.17,50.6,30.4725,408300
2007-10-24,50.38,50.4616,49.73,50.44,30.3762,197500
2007-10-25,50.48,50.6699,50.27,50.62,30.4846,513000
2007-10-26,51.26,51.62,51.194,51.57,31.0567,79500
2007-10-29,51.7,52.05,51.7,52.04,31.3398,135500
2007-10-30,51.67,51.81,51.6401,51.66,31.1109,126000
2007-10-31,51.93,52.6,51.8,52.36,31.5325,247800
2007-11-01,51.55,51.55,51.05,51.05,30.7435,514500
2007-11-02,51.11,51.41,50.86,51.35,30.9242,390400
2007-11-05,50.53,50.86,50.466,50.76,30.5689,268000
2007-11-06,51.29,51.48,51.05,51.48,31.0025,191100
2007-11-07,51.17,51.33,50.43,50.49,30.4063,634900
2007-11-08,50.76,50.9,50.2,50.83,30.6111,358900
2007-11-09,50.65,50.65,49.54,49.64,29.8944,221900
2007-11-12,49.23,49.52,48.7901,48.85,29.4187,254500
2007-11-13,49.68,50.31,49.66,50.29,30.2859,346200
2007-11-14,51.02,51.02,50,50.11,30.1775,118860
2007-11-15,49.5,49.68,48.89,49.2,29.6294,363100
2007-11-16,49.53,49.53,49,49.39,29.7439,518900
2007-11-19,49.5,49.5,47.92,48.15,28.9971,341900
2007-11-20,48.9,49.3,48.62,49.14,29.5933,321100
2007-11-21,49.12,49.12,47.81,48.14,28.9911,212800
2007-11-23,48.33,50.98,48.29,49.18,29.6174,137500
2007-11-26,49.62,49.62,48.43,48.43,29.1657,352050
2007-11-27,48.98,49.26,48.7,49.25,29.6595,254800
2007-11-28,49.4,50.6,49.4,50.53,30.4304,280400
2007-11-29,50.16,50.42,49.94,50.21,30.2377,177000
2007-11-30,50.42,51.18,50.22,50.39,30.3461,346140
2007-12-03,50.45,50.45,50.18,50.2,30.2317,245800
2007-12-04,50.2,50.48,49.82,49.85,30.0209,319319
2007-12-05,50.36,50.6958,50.344,50.55,30.4424,214700
2007-12-06,50.04,51.02,50.04,51.02,30.7255,375407
2007-12-07,50.86,50.9,50.72,50.82,30.605,533498
2007-12-10,51.04,51.35,51.03,51.31,30.9001,230445
2007-12-11,51.32,51.39,49.93,50.06,30.1473,212500
2007-12-12,51.53,51.53,50.5,50.852,30.6243,511500
2007-12-13,49.98,50.2,49.49,49.989,30.1046,512600
2007-12-14,49.97,49.97,48.6,48.64,29.2922,399865
2007-12-17,48.83,48.83,47.57,47.59,28.6599,349100
2007-12-18,48.33,48.36,47.5,48.11,28.973,462076
2007-12-19,48.45,48.45,47.5,47.78,28.7743,387780
2007-12-20,48,48.054,47.69,47.94,28.8706,284078
2007-12-21,48.5,48.73,48.45,48.73,29.3464,743100
2007-12-24,49.32,49.32,47.74,47.95,29.5142,307400
2007-12-26,48.26,49,47.88,48.2199,29.6804,219900
2007-12-27,50.4,50.4,47.77,47.778,29.4084,386994
2007-12-28,48.33,48.36,48.12,48.285,29.7204,388448
2007-12-31,48.38,48.4,47.75,47.92,29.4958,528848
2008-01-02,48.27,48.39,47.19,47.81,29.4281,688202
2008-01-03,47.9,48.02,47.77,47.89,29.4773,225300
2008-01-04,47.54,47.55,46.71,46.84,28.831,411091
2008-01-07,47,47.0334,46.62,46.9,28.8679,759822
2008-01-08,47.37,47.5,46.48,46.52,28.634,368582
2008-01-09,46.85,46.93,46.29,46.82,28.8187,229390
2008-01-10,46.7,47.93,46.26,46.77,28.7879,388200
2008-01-11,46.64,46.64,45.8,45.96,28.2894,207626
2008-01-14,46.76,46.7799,46.45,46.7,28.7448,172700
2008-01-15,46.44,46.44,45.15,45.2299,27.84,321946
2008-01-16,45.07,45.14,43.21,44.3,27.2676,545769
2008-01-17,44.93,44.93,43.41,43.55,26.8059,484310
2008-01-18,44.44,44.56,43.469,43.71,26.9044,428555
2008-01-22,42,56.11,40.94,42.47,26.1412,461861
2008-01-23,41.09,42.84,40.15,42.38,26.0858,708712
2008-01-24,42.8,43.64,42.79,43.56,26.8121,365500
2008-01-25,46.28,49.052,43.07,43.37,26.6952,508192
2008-01-28,43.45,43.73,42.7,43.71,26.9044,311600
2008-01-29,44.39,44.39,43.6,44.02,27.0952,433300
2008-01-30,44.34,44.71,43.433,43.73,26.9167,192893
2008-01-31,43.32,44.61,43.03,44.38,27.3168,348100
2008-02-01,45.4,45.4,44.48,45,27.6985,451668
