Date,Open,High,Low,Close,Adjusted_close,Volume
2006-05-05,49.26,49.68,49.26,49.68,7.7435,300600
2006-05-08,49.62,49.69,49.48,49.64,7.7373,14400
2006-05-09,49.56,49.6404,49.41,49.41,7.7015,53400
2006-05-10,49.4,49.55,49.21,49.21,7.6703,90000
2006-05-11,49.1,49.1,48.76,48.76,7.6001,54000
2006-05-12,48.5,48.52,48.23,48.23,7.5175,57600
2006-05-15,47.98,48.3,47.98,48.28,7.5253,73200
2006-05-16,48.35,48.53,48.35,48.48,7.5565,30600
2006-05-17,48.3,48.34,47.83,47.9,7.4661,84600
2006-05-18,47.9,47.97,47.6701,47.6701,7.4303,22200
2006-05-19,47.73,47.73,47.2601,47.33,7.3773,18600
2006-05-22,47.2,47.25,46.71,47.17,7.3523,28800
2006-05-23,47.07,47.07,46.73,46.73,7.2837,21600
2006-05-24,46.75,46.94,46.4,46.6,7.2635,105000
2006-05-25,47.46,47.49,47.32,47.47,7.3991,30600
2006-05-26,47.59,47.8,47.36,47.8,7.4505,93000
2006-05-30,47.64,47.64,47.18,47.18,7.3539,33000
2006-05-31,47.25,47.56,47.24,47.47,7.3991,64800
2006-06-01,47.65,48,47.65,48,7.4817,46800
2006-06-02,48.13,48.25,47.93,48.25,7.5207,205800
2006-06-05,48.11,48.11,47.37,47.37,7.3835,62400
2006-06-06,47.3,47.3,47,47.18,7.3539,15600
2006-06-07,47.75,47.8438,47.47,47.47,7.3991,13200
2006-06-08,47.17,47.41,46.78,47.41,7.3897,15600
2006-06-09,47.48,47.48,47.15,47.15,7.3492,12600
2006-06-12,47.25,47.25,46.62,46.69,7.2775,15600
2006-06-13,46.8,46.8,46.3,46.3,7.2167,25200
2006-06-14,46.32,46.44,46.17,46.35,7.2245,26400
2006-06-15,46.78,47.62,46.78,47.46,7.3975,81600
2006-06-16,47.67,47.75,47.3,47.38,7.385,60000
2006-06-19,47.43,47.43,46.6,46.67,7.2744,70800
2006-06-20,46.3,46.57,46.3,46.44,7.2385,43800
2006-06-21,46.5,46.77,46.4,46.5488,7.2555,56400
2006-06-22,46.12,46.47,46.11,46.47,7.2433,25200
2006-06-23,46.4,46.4,46.2782,46.2782,7.2134,8400
2006-06-26,45.6,45.84,45.44,45.56,7.1015,94800
2006-06-27,45.27,45.29,44.84,44.86,6.9923,14400
2006-06-28,44.83,45.01,44.64,44.93,7.0033,22800
2006-06-29,45.1,45.63,45.1,45.63,7.1124,17400
2006-06-30,45.91,45.92,45.66,45.81,7.1404,73800
2006-07-03,45.75,46.06,45.75,46.06,7.1794,19200
2006-07-05,45.8,45.8,45.48,45.69,7.1217,29400
2006-07-06,45.93,45.99,45.7,45.78,7.1357,61200
2006-07-07,45.68,45.97,45.67,45.77,7.1342,59400
2006-07-10,46,46.09,45.7,45.85,7.1467,55200
2006-07-11,45.81,46.07,45.63,46.07,7.181,65400
2006-07-12,45.89,45.9,45.5,45.5,7.0921,244800
2006-07-13,45.35,45.41,45,45.02,7.0173,42000
2006-07-14,45,45,44.37,44.65,6.9596,25800
2006-07-17,44.7,44.8,44.67,44.69,6.9658,197400
2006-07-18,44.86,44.86,44.32,44.63,6.9565,52200
2006-07-19,44.85,45.78,44.85,45.72,7.1264,526800
2006-07-20,45.79,45.79,45.2,45.27,7.0563,25800
2006-07-21,44.92,45.16,44.84,44.84,6.9892,9600
2006-07-24,45.06,45.35,45.06,45.34,7.0672,25800
2006-07-25,45.25,46.41,45.15,46.23,7.2059,587400
2006-07-26,46.1,46.81,45.9,46.54,7.2542,463800
2006-07-27,46.62,46.62,46.14,46.31,7.2184,106800
2006-07-28,46.55,47.1,46.55,47.06,7.3353,379200
2006-07-31,46.91,46.91,46.69,46.84,7.301,63600
2006-08-01,46.37,46.81,46.25,46.81,7.2963,24000
2006-08-02,47.85,47.85,47.15,47.24,7.3633,162000
2006-08-03,45.45,45.81,45.17,45.65,7.1155,148200
2006-08-04,45.75,45.75,45.2,45.2208,7.0486,66600
2006-08-07,45,45.02,44.8,44.9,6.9986,89400
2006-08-08,45.06,45.21,44.72,44.8,6.983,48000
2006-08-09,45.16,45.34,44.82,44.87,6.9939,60600
2006-08-10,44.63,45.13,44.63,45.01,7.0157,24600
2006-08-11,44.95,45.08,44.85,45.01,7.0157,39600
2006-08-14,45.19,45.29,44.82,44.82,6.9861,33600
2006-08-15,45.28,45.62,45.28,45.62,7.1108,19800
2006-08-16,45.81,45.87,45.71,45.83,7.1435,26400
2006-08-17,45.83,46.63,45.83,46.52,7.2511,40200
2006-08-18,46.42,46.65,46.33,46.65,7.2714,20400
2006-08-21,46.47,46.52,46.36,46.51,7.2495,20400
2006-08-22,46.12,46.25,46.11,46.11,7.1872,18600
2006-08-23,46.34,46.4,45.75,45.79,7.1373,72000
2006-08-24,45.97,46.47,45.97,46.35,7.2246,88800
2006-08-25,46.25,46.5,46.25,46.39,7.2308,76800
2006-08-28,46.48,46.66,46.48,46.63,7.2682,48600
2006-08-29,46.78,46.98,46.55,46.98,7.3228,99600
2006-08-30,46.93,47.06,46.93,46.96,7.3197,52200
2006-08-31,46.99,47.2,46.97,47.2,7.3571,67200
2006-09-01,47.27,47.39,47.18,47.29,7.3711,57000
2006-09-05,47.29,47.29,47.04,47.04,7.3321,41400
2006-09-06,46.9,47.1,46.75,46.82,7.2979,34200
2006-09-07,46.5,46.81,46.5,46.6,7.2636,37800
2006-09-08,46.67,46.86,46.67,46.82,7.2979,28200
2006-09-11,46.68,46.82,46.433,46.81,7.2963,52200
2006-09-12,46.95,47.5,46.77,47.48,7.4007,97800
2006-09-13,47.57,47.57,47.23,47.42,7.3914,83400
2006-09-14,47.4,47.58,47.18,47.56,7.4132,28200
2006-09-15,47.7,47.85,47.54,47.63,7.4241,28200
2006-09-18,47.7,47.8,47.52,47.64,7.4257,91200
2006-09-19,47.74,47.74,47.39,47.62,7.4226,26400
2006-09-20,47.65,48.04,47.65,48.03,7.4865,21600
2006-09-21,48.2,48.2,47.52,47.64,7.4257,37800
2006-09-22,47.45,47.45,46.45,46.64,7.2698,49200
2006-09-25,46.77,46.79,46.4,46.74,7.2854,8400
2006-09-26,46.61,46.69,46.4,46.55,7.2558,69600
2006-09-27,46.42,46.65,46.4,46.65,7.2714,27000
2006-09-28,46.55,46.77,46.45,46.77,7.2901,15000
2006-09-29,46.79,46.79,46.6262,46.6262,7.2676,22800
2006-10-02,46.65,46.65,46.12,46.23,7.2059,148200
2006-10-03,46.09,46.68,46.08,46.52,7.2511,24600
2006-10-04,46.99,47.39,46.99,47.39,7.3867,36600
2006-10-05,47.46,47.92,47.46,47.92,7.4693,54600
2006-10-06,47.9,47.9,47.65,47.65,7.4272,61200
2006-10-09,47.74,47.85,47.53,47.84,7.4568,72600
2006-10-10,47.8,47.82,47.65,47.82,7.4537,18000
2006-10-11,47.89,47.94,47.59,47.73,7.4397,29400
2006-10-12,47.96,48,47.81,48,7.4818,25200
2006-10-13,48.21,48.21,47.84,47.84,7.4568,39600
2006-10-16,47.7,47.95,47.69,47.75,7.4428,188400
2006-10-17,47.68,47.68,47.43,47.64,7.4257,33600
2006-10-18,48.17,48.17,47.8409,47.94,7.4724,45000
2006-10-19,48.11,48.18,47.87,48.18,7.5098,27000
2006-10-20,48.25,48.34,48.19,48.23,7.5176,28200
2006-10-23,48.15,48.45,48.12,48.43,7.5488,42000
2006-10-24,48.5,48.73,48.21,48.38,7.541,16200
2006-10-25,48.54,48.61,48.316,48.49,7.5582,84600
2006-10-26,48.4,49,48.35,48.96,7.6314,63000
2006-10-27,48.9,48.9,48.72,48.72,7.594,40800
2006-10-30,48.55,48.83,48.55,48.76,7.6002,16200
2006-10-31,48.76,48.79,48.64,48.66,7.5847,224400
2006-11-01,48.82,48.82,48.39,48.44,7.5504,30600
2006-11-02,48.29,48.71,48.29,48.71,7.5924,28800
2006-11-03,48.77,49,48.68,48.8,7.6065,54000
2006-11-06,48.96,49.52,48.96,49.52,7.7187,63000
2006-11-07,49.72,49.82,49.49,49.6,7.7312,73800
2006-11-08,49.16,49.37,49.05,49.31,7.686,90600
2006-11-09,49.4,49.4,48.55,48.69,7.5893,100800
2006-11-10,48.74,49.07,48.5916,49.04,7.6439,28200
2006-11-13,49.02,49.12,48.57,48.57,7.5706,20400
2006-11-14,48.43,49.04,48.36,49.04,7.6439,116400
2006-11-15,49.14,49.28,49.14,49.2,7.6688,36600
2006-11-16,49.25,49.5,49.25,49.49,7.714,32400
2006-11-17,49.5,49.5,49.11,49.41,7.7016,59400
2006-11-20,49.38,49.48,49.27,49.43,7.7047,75600
2006-11-21,50.15,50.26,49.97,50.2521,7.8328,84000
2006-11-22,50.18,50.34,50.14,50.26,7.834,158400
2006-11-24,50.1,50.18,49.95,50.11,7.8107,16800
2006-11-27,50,50,49.22,49.4016,7.7002,662400
2006-11-28,49.55,49.55,49.34,49.48,7.7125,627600
2006-11-29,49.71,49.84,49.61,49.73,7.7514,27000
2006-11-30,49.5,49.72,49.43,49.65,7.739,32400
2006-12-01,49.54,49.65,49.3,49.65,7.739,22800
2006-12-04,50.34,50.69,50.3,50.6832,7.9,666000
2006-12-05,50.86,50.97,50.8188,50.85,7.926,343800
2006-12-06,50.99,51.32,50.99,51.27,7.9915,31800
2006-12-07,51.5,51.5,51.04,51.0901,7.9634,58200
2006-12-08,51.25,51.2699,50.93,51.1788,7.9773,22200
2006-12-11,51.43,51.58,51.31,51.42,8.0149,24000
2006-12-12,51.41,51.52,51.22,51.52,8.0304,103800
2006-12-13,51.75,51.77,51.31,51.42,8.0149,271200
2006-12-14,51.59,51.86,51.5,51.5,8.0273,102600
2006-12-15,51.62,51.74,51.6,51.63,8.0476,14400
2006-12-18,51.67,51.67,51.28,51.31,7.9977,60000
2006-12-19,51,51.45,51,51.39,8.0102,42600
