,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2000-05-26,91.375,91.375,91.375,91.375,6.6447,200000
1,2000-05-30,94.375,94.937,94.375,94.937,6.9038,521000
2,2000-05-31,94.781,94.781,94.781,94.781,6.8924,2000
3,2000-06-01,95.875,96.5,95.875,96.5,7.0174,102000
4,2000-06-02,100.594,100.656,100.094,100.25,7.2901,418000
5,2000-06-05,99.688,99.703,99.406,99.484,7.2344,659000
6,2000-06-06,99.406,100.125,98.875,98.875,7.1901,1195000
7,2000-06-07,98.031,98.953,98.031,98.766,7.1822,15000
8,2000-06-08,98.906,99.016,98.313,98.313,7.1493,3017000
9,2000-06-09,99.156,99.703,99.156,99.266,7.2186,18000
10,2000-06-12,99.625,99.625,97.578,97.609,7.0981,731000
11,2000-06-13,98.094,98.094,97.125,97.828,7.114,1031000
12,2000-06-14,99.281,99.281,98.0,98.0,7.1265,358000
13,2000-06-15,98.0,99.5,97.75,99.5,7.2356,2253000
14,2000-06-16,99.187,99.781,98.938,99.125,7.2083,3023000
15,2000-06-19,99.156,100.969,99.0,100.781,7.3287,62000
16,2000-06-20,101.125,101.5,100.516,101.391,7.3731,776000
17,2000-06-21,101.0,101.313,100.922,101.078,7.3553,1006000
18,2000-06-22,99.719,100.078,98.313,98.313,7.1541,2304000
19,2000-06-23,98.297,98.516,97.391,97.5,7.0949,1505000
20,2000-06-26,98.219,98.219,97.625,97.984,7.1301,272000
21,2000-06-27,98.25,98.391,97.125,97.375,7.0858,488000
22,2000-06-28,97.281,98.469,97.281,98.469,7.1654,25000
23,2000-06-29,98.031,99.0,97.734,98.938,7.1996,1820000
24,2000-06-30,96.875,97.031,96.875,97.031,7.0608,43000
25,2000-07-03,97.031,98.328,97.0,98.328,7.1552,526000
26,2000-07-05,97.406,97.859,97.094,97.094,7.0654,50000
27,2000-07-06,97.219,98.141,96.969,98.141,7.1416,4076000
28,2000-07-07,98.719,99.641,98.719,99.438,7.2359,269000
29,2000-07-10,100.172,100.859,100.094,100.766,7.3326,1022000
30,2000-07-11,100.562,101.781,100.562,101.406,7.3791,1325000
31,2000-07-12,102.188,102.844,102.0,102.813,7.4815,1243000
32,2000-07-13,103.25,103.25,102.891,102.953,7.4917,463000
33,2000-07-14,103.359,103.578,102.922,103.578,7.5372,801000
34,2000-07-17,103.406,103.672,103.266,103.625,7.5406,133000
35,2000-07-18,103.25,103.359,102.344,102.344,7.4474,1706000
36,2000-07-19,102.125,102.563,101.25,101.25,7.3678,883000
37,2000-07-20,102.266,102.672,102.266,102.359,7.4485,93000
38,2000-07-21,101.375,101.453,101.0,101.0,7.3496,358000
39,2000-07-24,101.094,101.109,100.0,100.125,7.2859,516000
40,2000-07-25,100.219,100.219,99.297,99.625,7.2495,836000
41,2000-07-26,99.391,99.391,98.094,99.25,7.2223,665000
42,2000-07-27,98.531,98.672,97.891,98.141,7.1416,335000
43,2000-07-28,98.141,98.141,96.281,96.906,7.0517,305000
44,2000-07-31,97.375,97.875,97.375,97.875,7.1222,11000
45,2000-08-01,98.344,98.687,98.297,98.297,7.1529,37000
46,2000-08-02,98.188,99.766,98.062,99.766,7.2598,59000
47,2000-08-03,97.375,99.156,97.375,99.156,7.2154,37000
48,2000-08-04,100.75,101.031,100.719,100.906,7.3428,120000
49,2000-08-07,102.437,102.484,102.234,102.234,7.4394,6000
50,2000-08-08,102.375,102.688,102.375,102.625,7.4678,74000
51,2000-08-09,102.984,103.141,101.469,101.469,7.3837,652000
52,2000-08-10,101.594,101.75,101.094,101.094,7.3564,1052000
53,2000-08-11,101.125,102.828,100.875,102.828,7.4826,997000
54,2000-08-14,103.0,103.906,103.0,103.813,7.5543,758000
55,2000-08-15,103.203,103.453,103.094,103.141,7.5054,1545000
56,2000-08-16,103.922,103.922,103.313,103.313,7.5179,43000
57,2000-08-17,103.687,104.453,103.641,104.438,7.5998,704000
58,2000-08-18,105.156,105.25,104.531,104.937,7.6361,158000
59,2000-08-21,105.219,105.375,104.656,104.953,7.6373,108000
60,2000-08-22,105.203,105.375,104.922,105.031,7.6429,571000
61,2000-08-23,104.812,105.375,104.234,105.375,7.668,1216000
62,2000-08-24,105.656,106.328,105.234,106.328,7.7373,806000
63,2000-08-25,106.25,106.656,106.25,106.578,7.7555,231000
64,2000-08-28,106.656,107.375,106.656,107.078,7.7919,1958000
65,2000-08-29,106.687,107.328,106.625,107.328,7.8101,3388000
66,2000-08-30,107.063,107.516,107.063,107.375,7.8135,72000
