,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2000-05-26,78.1875,78.1875,78.1406,78.1406,60.2357,10300
1,2000-05-30,79.4844,79.625,79.4844,79.625,61.38,1100
2,2000-05-31,80.9688,82.0938,80.9688,82.0938,63.283,1000
3,2000-06-01,82.0469,83.1875,82.0469,82.875,63.8853,5200
4,2000-06-02,85.5156,85.8906,85.2344,85.8906,66.2099,8000
5,2000-06-05,85.125,86.0,85.125,85.3906,65.8245,20400
6,2000-06-06,85.375,85.6719,85.375,85.6094,65.9931,400
7,2000-06-07,84.4063,85.2813,84.4063,85.2813,65.7402,1200
8,2000-06-08,85.625,85.6406,84.75,84.75,65.3306,13400
9,2000-06-09,85.6563,85.6563,85.0469,85.0469,65.5595,1700
10,2000-06-12,85.2969,85.375,83.8594,83.8594,64.6441,3800
11,2000-06-13,83.2188,85.2969,83.2188,85.2969,65.7522,7600
12,2000-06-14,85.9375,85.9375,85.5625,85.5625,65.957,600
13,2000-06-15,85.5,85.5,85.5,85.5,65.9088,2600
14,2000-06-16,86.5156,86.8281,85.9063,85.9375,66.246,282100
15,2000-06-19,86.1563,88.0,86.1563,88.0,67.8359,9500
16,2000-06-20,87.9531,88.1719,87.4688,87.5938,67.5228,111700
17,2000-06-21,87.4375,88.0,87.2188,87.6875,67.6166,16100
18,2000-06-22,87.5938,87.5938,85.9219,85.9219,66.2551,7300
19,2000-06-23,85.4375,85.4375,85.25,85.3438,65.8093,700
20,2000-06-26,85.5938,85.8125,85.3281,85.7656,66.1346,12000
21,2000-06-27,85.8438,86.0313,85.6094,85.6094,66.0141,5900
22,2000-06-28,85.5156,86.6875,85.5156,86.6094,66.7852,6100
23,2000-06-29,85.2813,85.8438,84.6875,85.1719,65.6768,24100
24,2000-06-30,85.0,86.5313,85.0,86.5313,66.725,18600
25,2000-07-03,86.3906,87.2656,86.3906,87.2656,67.2913,17600
26,2000-07-05,86.4688,86.4688,84.7188,84.7188,65.3274,22900
27,2000-07-06,84.9375,86.1563,84.1875,86.0625,66.3635,45500
28,2000-07-07,87.2344,88.3594,87.2344,87.8125,67.713,6200
29,2000-07-10,87.3438,88.25,87.2656,87.2656,67.2913,32400
30,2000-07-11,87.4219,88.375,86.8125,87.2656,67.2913,30900
31,2000-07-12,88.4219,89.0469,88.0938,88.9219,68.5684,20500
32,2000-07-13,89.375,90.1719,89.1094,89.6563,69.1347,9700
33,2000-07-14,90.2969,91.0,89.6406,91.0,70.1709,25500
34,2000-07-17,90.5938,92.3281,90.5938,91.8594,70.8336,13100
35,2000-07-18,91.5,91.9219,90.0938,90.5,69.7853,9500
36,2000-07-19,89.6875,89.6875,88.2656,88.5625,68.2913,67800
37,2000-07-20,89.4219,90.5,89.4219,90.5,69.7853,8200
38,2000-07-21,89.0313,89.1875,88.625,89.1406,68.7371,7200
39,2000-07-24,88.5625,89.0938,87.1563,87.1563,67.2069,6700
40,2000-07-25,86.75,87.5469,86.75,87.4063,67.3997,30200
41,2000-07-26,86.875,86.875,85.7813,86.5625,66.7491,15900
42,2000-07-27,85.5625,85.9375,85.1875,85.3906,65.8454,27700
43,2000-07-28,85.1875,85.1875,81.6563,82.0156,63.2429,20700
44,2000-07-31,82.8438,83.6719,81.875,83.1406,64.1104,20000
45,2000-08-01,83.7031,83.7031,83.2656,83.5469,64.4237,2600
46,2000-08-02,82.6875,84.1094,82.6563,82.6563,63.7369,8500
47,2000-08-03,81.3125,83.7188,80.875,83.7188,64.5562,5000
48,2000-08-04,84.5156,84.5156,83.625,84.2031,64.9297,60100
49,2000-08-07,84.4688,85.6875,84.4688,85.625,66.0262,24700
50,2000-08-08,85.1563,86.0938,85.1563,85.875,66.2189,13700
51,2000-08-09,86.8125,86.8125,85.25,85.4375,65.8816,8500
52,2000-08-10,84.8125,85.2813,84.0,84.25,64.9659,12100
53,2000-08-11,84.0,84.5938,83.0,84.4688,65.1346,7600
54,2000-08-14,84.4063,85.9375,84.4063,85.9375,66.2671,105200
55,2000-08-15,85.875,86.25,85.8125,86.0938,66.3876,1500
56,2000-08-16,86.9063,86.9063,85.5625,85.7656,66.1346,42100
57,2000-08-17,85.9375,87.4063,85.9375,87.2813,67.3033,22000
58,2000-08-18,87.75,88.0625,87.125,87.2813,67.3033,11000
59,2000-08-21,87.7813,88.25,87.25,87.5625,67.5202,15100
60,2000-08-22,87.9688,88.6563,87.75,87.75,67.6648,6000
61,2000-08-23,87.4375,88.75,87.4375,88.75,68.4359,17500
62,2000-08-24,89.125,89.5,89.0,89.5,69.0142,5700
63,2000-08-25,89.5313,89.6563,89.4375,89.5,69.0142,7200
64,2000-08-28,89.625,90.4375,89.5,90.2813,69.6166,5700
65,2000-08-29,89.75,90.2813,89.75,89.9844,69.3877,4200
66,2000-08-30,89.875,89.875,89.375,89.375,68.9178,12800
67,2000-08-31,90.0625,91.0,90.0625,91.0,70.1709,6200
68,2000-09-01,91.625,91.8438,91.0,91.125,70.2673,32800
69,2000-09-05,90.5,90.7188,89.5313,89.5938,69.0865,13300
70,2000-09-06,89.375,89.375,87.4688,87.4688,67.4479,9900
71,2000-09-07,88.8125,88.9375,88.75,88.8438,68.5082,4200
72,2000-09-08,88.625,88.625,87.1563,87.4375,67.4238,8300
73,2000-09-11,87.0625,87.625,85.75,85.75,66.1226,13500
74,2000-09-12,86.375,86.875,85.0,85.0,65.5442,21900
75,2000-09-13,84.375,86.0625,84.375,86.0625,66.3635,4900
76,2000-09-14,87.1875,87.1875,85.9375,85.9375,66.2671,44800
77,2000-09-15,85.625,85.625,84.625,84.625,65.2551,1800
78,2000-09-18,84.7813,84.7813,83.3438,83.3438,64.2671,8600
79,2000-09-19,84.4688,85.5,84.4688,85.5,65.9298,3000
80,2000-09-20,85.25,85.25,84.25,84.25,64.9895,1500
81,2000-09-21,85.1875,85.1875,84.9688,84.9688,65.5439,25700
82,2000-09-22,82.3125,84.75,82.3125,84.75,65.3752,27300
83,2000-09-25,85.5,85.7188,83.7813,83.7813,64.6279,2100
84,2000-09-26,83.5,84.0625,82.75,82.75,63.8324,7800
85,2000-09-27,82.6875,83.2813,81.9688,82.0938,63.3262,4500
86,2000-09-28,82.3125,84.375,82.3125,84.375,65.0859,12000
87,2000-09-29,83.2344,83.2813,82.5313,82.5313,63.6636,7800
88,2000-10-02,82.9375,83.0938,81.0938,81.0938,62.5548,23300
89,2000-10-03,82.125,82.3438,79.4375,79.4375,61.2772,8000
90,2000-10-04,78.9688,81.25,78.9688,81.25,62.6753,4200
91,2000-10-05,80.8125,81.125,80.375,80.6875,62.2414,56700
92,2000-10-06,80.9375,80.9375,77.75,78.875,60.8432,32600
93,2000-10-09,78.875,78.875,77.5313,78.75,60.7468,2900
94,2000-10-10,78.25,78.25,76.0938,76.0938,58.6978,16100
95,2000-10-11,75.75,76.5625,74.0,75.4688,58.2157,12400
96,2000-10-12,75.625,75.625,72.875,72.875,56.2149,86300
97,2000-10-13,72.8438,76.8906,72.8438,76.8906,59.3125,10200
98,2000-10-16,76.8281,77.7656,76.6406,77.2188,59.5656,23400
99,2000-10-17,77.7969,77.7969,74.9844,75.5625,58.288,2600
100,2000-10-18,72.25,75.9063,72.125,75.9063,58.5532,14700
101,2000-10-19,77.0,78.5469,76.625,78.3594,60.4455,15000
102,2000-10-20,78.6719,80.4375,78.5781,79.25,61.1325,20300
103,2000-10-23,79.0313,79.9531,78.4375,78.4375,60.5058,9700
104,2000-10-24,79.7813,79.7813,77.7344,77.7813,59.9995,2700
105,2000-10-25,76.0938,77.4219,75.0781,75.0781,57.9144,2800
106,2000-10-26,74.8438,75.25,72.8281,75.25,58.047,11700
107,2000-10-27,75.6875,76.5,74.9219,76.125,58.7219,13000
108,2000-10-30,75.0938,75.5,74.1563,75.3281,58.1072,9700
109,2000-10-31,75.8594,78.4063,75.8594,78.1719,60.3009,12100
110,2000-11-01,78.3281,78.7969,77.6406,78.1094,60.2527,24700
111,2000-11-02,78.9688,79.5938,78.6719,79.4688,61.3013,18500
112,2000-11-03,79.4375,79.9688,79.0,79.5938,61.3977,461700
113,2000-11-06,79.9063,80.1563,79.3594,79.4063,61.253,86000
114,2000-11-07,78.6094,79.9688,78.6094,79.5625,61.3736,6100
115,2000-11-08,78.1563,78.3906,77.0,77.0,59.3969,44700
116,2000-11-09,74.5938,76.1563,73.4688,75.5938,58.3121,29700
117,2000-11-10,74.3125,74.375,73.1094,73.4531,56.6609,16200
118,2000-11-13,70.8125,72.625,69.4063,72.0781,55.6002,25800
119,2000-11-14,73.0,74.9063,73.0,74.5156,57.4805,13400
120,2000-11-15,74.9063,75.4531,74.2969,74.2969,57.3117,223800
121,2000-11-16,74.7969,75.5,73.5938,73.5938,56.7694,11000
122,2000-11-17,73.5625,74.0,72.4063,73.0781,56.3716,4800
123,2000-11-20,72.0313,72.0313,70.5469,71.0156,54.7806,29000
124,2000-11-21,71.3281,71.5469,70.7344,71.3906,55.0699,33200
125,2000-11-22,70.3281,70.6563,69.1094,69.4531,53.5753,6900
126,2000-11-24,70.2813,70.875,70.2813,70.875,54.6721,1500
