Date,Open,High,Low,Close,Adjusted_close,Volume
2000-05-26,91.0625,91.4375,90.5625,91.4375,33.4857,76800
2000-05-30,92.75,94.8125,92.75,94.8125,34.7217,57600
2000-05-31,95.125,96.375,95.125,95.1563,34.8475,36000
2000-06-01,97.1094,97.3125,97.1094,97.3125,35.6372,7000
2000-06-02,101.7188,102.375,101.7188,102.375,37.4912,29400
2000-06-05,102.125,103.125,101.875,102,37.3538,48400
2000-06-06,103.6094,104.8125,102.6875,103,37.72,151800
2000-06-07,102.375,103.125,101.4375,103.125,37.7658,131000
2000-06-08,104.25,104.25,102.875,102.875,37.6743,91400
2000-06-09,103.875,104.6875,103.8125,104.6875,38.338,41600
2000-06-12,105,105,101.5,101.5781,37.1993,85200
2000-06-13,101.3281,102.875,100.375,102.875,37.6743,168200
2000-06-14,103.7188,103.7188,102.375,102.375,37.4912,43200
2000-06-15,101.75,102.5,100.7656,102.5,37.5369,26800
2000-06-16,102.9375,103,101.9375,101.9375,37.3309,30200
2000-06-19,102.5,104.5,102.0312,104.5,38.2694,59200
2000-06-20,104.6562,105.3438,104.25,105.1875,38.5211,47000
2000-06-21,104.25,105.875,104.25,105.6875,38.7263,66800
2000-06-22,106,106,102.6875,102.6875,37.6271,139200
2000-06-23,103.5,103.5,101,101.8125,37.3064,235800
2000-06-26,102.2188,103.0625,101.75,103.0625,37.7645,93600
2000-06-27,103.2188,104.125,101.4375,101.4375,37.169,112800
2000-06-28,101.875,104.375,101.875,104,38.108,170600
2000-06-29,103.5,103.6875,102.0625,102.375,37.5126,212200
2000-06-30,102.4375,103.3594,101.5938,103.3594,37.8733,1171800
2000-07-03,103.125,104.8125,103,104.8125,38.4057,15800
2000-07-05,104.2188,104.25,103.2656,103.625,37.9706,138800
2000-07-06,103.6562,104.8438,102.6875,104.8438,38.4172,154600
2000-07-07,104.8594,105.9062,104.8594,105.5,38.6576,71800
2000-07-10,105.4375,106.5625,105.4375,106.1875,38.9095,44800
2000-07-11,106,106.5938,105.6875,106.0625,38.8637,253200
2000-07-12,106.625,108.1875,106.5,108.1875,39.6424,35000
2000-07-13,108.2812,108.5312,108,108.5312,39.7683,102600
2000-07-14,109.0938,109.0938,107.75,108.625,39.8027,54800
2000-07-17,108.7188,109.1875,108.4375,109,39.9401,46600
2000-07-18,108.2812,108.2812,107.125,107.125,39.2531,235400
2000-07-19,106.7812,106.7812,105.25,105.25,38.566,35400
2000-07-20,106.25,107,106.25,107,39.2073,150400
2000-07-21,106.375,106.375,104.0625,104.0625,38.1309,150600
2000-07-24,104.625,104.625,102.3281,102.5469,37.5755,37000
2000-07-25,103.3594,103.3594,102.125,102.75,37.65,36800
2000-07-26,102,102.5625,100.9375,102.5625,37.5813,15800
2000-07-27,102.3594,102.3594,99.75,99.75,36.5507,275000
2000-07-28,100.3281,100.3281,97.75,98,35.9095,171600
2000-07-31,98.5,100.5,97.37,100.5,36.8255,166000
2000-08-01,99.75,100.125,99.2813,99.8438,36.585,263400
2000-08-02,99.25,100.5625,99,100,36.6423,388600
2000-08-03,98.0625,100.125,98.0625,100.125,36.6881,1079800
2000-08-04,101.125,101.1562,99.8438,100.4375,36.8026,570400
2000-08-07,100.8125,102.2969,100.8125,102.2969,37.4839,88200
2000-08-08,102,102.3125,101.8125,101.8125,37.3064,49600
2000-08-09,102.5625,102.5625,101.0781,101.0781,37.0373,23000
2000-08-10,101.0938,101.1875,100.1875,100.5,36.8255,43000
2000-08-11,99.5,102.25,99.5,102.25,37.4667,176000
2000-08-14,101.9375,103.3125,101.875,103.3125,37.8561,56800
2000-08-15,103.0938,103.25,101.8125,101.8125,37.3064,189200
2000-08-16,102.25,103.0625,101.875,102.3125,37.4896,219400
2000-08-17,102.6875,103.6875,102.4375,103.25,37.8332,358800
2000-08-18,103.625,103.875,102.875,103.0938,37.7759,52200
2000-08-21,103.75,103.8438,102.8125,103.4688,37.9133,129200
2000-08-22,103.5312,104.1875,103.3125,103.3125,37.8561,195600
2000-08-23,103.1875,103.5,102.75,103.1562,37.7988,153000
2000-08-24,103.7188,105.25,103.7188,104.6875,38.3599,276200
2000-08-25,104.75,105.375,104.4375,105.125,38.5202,208600
2000-08-28,105.625,106.25,105.125,105.3125,38.5889,156000
2000-08-29,105.5625,106.3125,105.25,106.3125,38.9553,140200
2000-08-30,106.2188,106.8125,105.8438,106.4375,39.0011,619000
2000-08-31,106.8125,108.3125,106.8125,107.5,39.3905,151200
2000-09-01,108,108.5625,107.4844,108.375,39.7111,186600
2000-09-05,108.2344,108.5625,107.625,107.625,39.4363,110400
2000-09-06,108.125,108.125,107,107.1562,39.2645,217600
2000-09-07,107.625,108.8125,107.625,108.75,39.8485,213800
2000-09-08,108.2031,108.4375,106.875,106.875,39.1615,128600
2000-09-11,107.4219,107.8281,106.625,107,39.2073,314600
2000-09-12,107.625,107.625,106.5,106.6562,39.0813,93000
2000-09-13,106.1875,107.375,106.1875,107.1875,39.276,81200
2000-09-14,107.6562,108.2188,107.1719,107.8125,39.505,114000
2000-09-15,107.25,107.375,105.625,105.8125,38.7721,67000
2000-09-18,106.2812,106.2812,103.0156,103.3125,37.8561,201400
2000-09-19,103.9688,105.375,103.2656,105,38.4744,53600
2000-09-20,104.625,104.625,103.25,103.8125,38.1686,40400
2000-09-21,104,104,101.875,101.875,37.4563,206200
2000-09-22,100,103.1875,100,103.1875,37.9388,127600
2000-09-25,104.3594,104.3594,103.25,103.3125,37.9848,113800
2000-09-26,103.25,103.25,101.3125,101.8438,37.4448,64800
2000-09-27,102.3125,102.8125,101,101.375,37.2724,43600
2000-09-28,101.625,104.3125,101.5625,104.125,38.2835,121000
2000-09-29,104.0312,104.3906,103.625,103.625,38.0997,130000
2000-10-02,104.4062,104.4062,101.9375,101.9375,37.4792,169600
2000-10-03,103.1719,103.1719,100.4531,100.4531,36.9335,151000
2000-10-04,100.9062,101.1562,99.625,101.1562,37.192,99800
2000-10-05,101.25,101.625,100.0625,100.125,36.8128,408800
2000-10-06,100.3125,100.3125,97.5625,97.6875,35.9166,185600
2000-10-09,97.75,97.75,96.625,97.4688,35.8362,361800
2000-10-10,97.5938,98.1094,95.125,95.125,34.9745,420400
2000-10-11,95.4375,95.625,94,94.8125,34.8596,168200
2000-10-12,95.6875,95.6875,91.9375,91.9375,33.8026,161400
2000-10-13,92.1875,96.2813,92.125,95.5,35.1124,378800
2000-10-16,96,97.0625,95.4375,96.25,35.3881,1098000
2000-10-17,96.25,96.5156,93.1406,93.8281,34.4977,265800
2000-10-18,91.6406,93.625,91.25,93.0625,34.2162,343600
2000-10-19,94.5625,96.1875,94.5625,95.9375,35.2732,150600
2000-10-20,96.6875,98.0625,96.6406,97.1563,35.7213,264800
2000-10-23,97.6875,98.25,97.3281,98.125,36.0775,143200
2000-10-24,98.4375,99.0625,96.6875,96.6875,35.549,73800
2000-10-25,96.5,97,94.5313,94.5313,34.7562,33000
