Date,Open,High,Low,Close,Adjusted_close,Volume
2006-06-22,48.09,48.09,47.77,47.87,31.2209,1364900
2006-06-23,47.43,47.45,47.01,47.2514,30.8174,702000
2006-06-26,47.5,47.83,47.45,47.76,31.1492,144200
2006-06-27,48,48,47.43,47.45,30.947,432500
2006-06-28,47.38,47.52,47.04,47.37,30.8948,739000
2006-06-29,47.85,48.42,47.69,48.42,31.5796,61200
2006-06-30,48.46,48.5,48.09,48.19,31.4296,279000
2006-07-03,48.22,48.53,48.22,48.53,31.6514,56500
2006-07-05,48.25,48.25,47.89,47.95,31.2731,141800
2006-07-06,48.1,48.25,48.05,48.05,31.3383,66400
2006-07-07,48.15,48.24,47.65,47.72,31.1231,246300
2006-07-10,47.93,47.93,47.8,47.86,31.2144,44200
2006-07-11,47.71,47.98,47.4,47.98,31.2926,172200
2006-07-12,47.88,47.88,47.36,47.36,30.8883,228600
2006-07-13,47.11,47.17,46.75,46.82,30.5361,992100
2006-07-14,46.83,46.9,46.5,46.8,30.523,59200
2006-07-17,46.71,47.01,46.7,47,30.6535,68900
2006-07-18,47.32,47.34,46.87,47.34,30.8752,579300
2006-07-19,47.35,48.56,47.33,48.54,31.6579,936400
2006-07-20,48.73,48.73,48.2,48.2,31.4361,146000
2006-07-21,47.55,47.81,47.5,47.78,31.1622,315900
2006-07-24,47.98,48.34,47.98,48.33,31.5209,87100
2006-07-25,48.31,48.57,48.23,48.57,31.6774,88400
2006-07-26,48.3,48.78,48.09,48.58,31.684,64000
2006-07-27,48.65,48.83,48.08,48.09,31.3644,562400
2006-07-28,48.37,49.12,48.37,49.07,32.0035,167500
2006-07-31,48.65,48.73,48.32,48.62,31.7101,174900
2006-08-01,48.17,48.41,47.98,48.22,31.4492,121500
2006-08-02,48.45,48.64,48.22,48.44,31.5927,223300
2006-08-03,48.5,49.11,48.48,49.08,32.0101,124500
2006-08-04,49.52,49.52,48.85,49.07,32.0035,75600
2006-08-07,49.01,49.05,48.73,48.84,31.8535,335100
2006-08-08,49.02,49.23,48.51,48.57,31.6774,98100
2006-08-09,49,49,47.96,48.03,31.3253,119200
2006-08-10,47.83,48.45,47.83,48.32,31.5144,51500
2006-08-11,48.07,48.23,47.98,48.18,31.4231,115300
2006-08-14,48.4,48.61,48.1,48.16,31.41,473400
2006-08-15,48.7,48.96,48.7,48.91,31.8992,127200
2006-08-16,49.17,49.24,48.9,49.19,32.0818,308000
2006-08-17,49.14,49.3,49.14,49.2,32.0883,55100
2006-08-18,49.02,49.2,49.02,49.2,32.0883,47400
2006-08-21,48.95,48.99,48.84,48.84,31.8535,56600
2006-08-22,48.8101,49.04,48.8101,48.95,31.9253,46300
2006-08-23,49.03,49.03,48.35,48.38,31.5535,311700
2006-08-24,48.4,48.49,48.29,48.46,31.6057,44000
2006-08-25,48.54,48.54,48.18,48.25,31.4687,167100
2006-08-28,48.34,48.6,48.32,48.6,31.697,63200
2006-08-29,48.47,48.47,48.1,48.44,31.5927,250900
2006-08-30,48.61,48.91,48.61,48.87,31.8731,83900
2006-08-31,48.91,49.03,48.83,48.97,31.9383,50700
2006-09-01,48.84,49.03,48.84,48.94,31.9188,97200
2006-09-05,48.97,49.15,48.97,49.05,31.9905,28400
2006-09-06,48.8,48.91,48.75,48.75,31.7948,1500
2006-09-07,48.58,48.65,48.27,48.27,31.4818,53000
