Date,Open,High,Low,Close,Adjusted_close,Volume
2000-05-05,340.3568,347.756,338.5068,342.4376,88.17,524800
2000-05-08,340.8192,340.8192,326.7148,327.4084,84.3004,206600
2000-05-09,329.258,331.8016,309.142,313.5352,80.7283,577400
2000-05-10,307.5236,307.5236,283.9388,284.6324,73.2865,807200
2000-05-11,289.9508,304.5176,283.014,304.0552,78.2874,449800
2000-05-12,310.7604,319.778,305.4424,307.7548,79.24,495000
2000-05-15,306.136,313.5352,295.2688,313.5352,80.7283,534800
2000-05-16,324.6336,330.6456,314.6912,326.946,84.1813,441000
2000-05-17,322.784,332.4952,319.778,324.1712,83.4668,472000
2000-05-18,326.4836,327.6396,317.9284,318.622,82.0381,243600
2000-05-19,313.0728,315.8472,298.506,301.974,77.7516,210200
2000-05-22,301.974,302.2052,281.6268,299.662,77.1563,498000
2000-05-23,297.812,304.2864,277.0024,277.4648,71.441,171800
2000-05-24,278.3896,295.7312,264.2852,295.0376,75.9656,616600
2000-05-25,301.974,310.5292,289.9508,294.344,75.787,388600
2000-05-26,293.65,298.7372,287.176,292.2628,75.2511,176400
2000-05-30,302.4364,322.0904,302.4364,321.8592,82.8716,183400
2000-05-31,326.946,332.0328,320.9344,322.0904,82.9311,275200
2000-06-01,332.9576,343.3628,329.258,342.2064,88.1105,440400
2000-06-02,371.3404,371.3404,359.7792,367.4096,94.5998,939000
2000-06-05,97.5,100.5,96.3126,98.6876,25.4099,296800
2000-06-06,98.5,100.25,94.625,94.625,24.3638,445600
2000-06-07,95.75,97,93.1876,96.1876,24.7662,431000
2000-06-08,98.8126,98.875,95.8126,96.625,24.8788,390400
2000-06-09,98.25,99,97.0626,98.625,25.3937,195000
2000-06-12,99.25,99.25,94.625,94.8126,24.4121,112400
2000-06-13,95,98.8126,93.3126,98.8126,25.442,389000
2000-06-14,98.8126,98.875,94.5626,94.5626,24.3478,195000
2000-06-15,94.75,96.6876,93.25,95.375,24.5569,217800
2000-06-16,95.5,96.9376,94.5626,96,24.7179,173800
2000-06-19,96.375,102.5,95.625,102.5,26.3915,436400
