Date,Open,High,Low,Close,Adjusted_close,Volume
2011-10-20,25.31,25.36,25.1,25.36,20.0087,4200
2011-10-21,25.67,25.67,25.67,25.67,20.2533,100
2011-10-25,25.8,25.8,25.58,25.58,20.1823,3995
2011-10-26,25.73,25.73,25.46,25.69,20.2691,4195
2011-10-27,26.03,26.03,26.03,26.03,20.5373,100
2011-10-28,26.07,26.07,26.02,26.02,20.5294,350
2011-10-31,26.01,26.01,25.96,25.96,20.4821,522
2011-11-04,25.79,25.8,25.79,25.8,20.3559,2000
2011-11-07,25.7,25.7,25.7,25.7,20.277,100
2011-11-08,26.08,26.1,26.08,26.1,20.5926,1205
2011-11-09,25.77,25.83,25.6,25.61,20.2059,3200
2011-11-10,26.49,26.49,25.6699,25.74,20.3085,2850
2011-11-11,26.13,26.25,26.13,26.2,20.6715,2400
2011-11-14,26.03,26.03,26.03,26.03,20.5373,100
2011-11-15,25.9,26.24,25.9,26.03,20.5373,23522
2011-11-16,25.9799,25.9948,25.84,25.84,20.3874,1000
2011-11-17,25.65,25.65,25.3845,25.3845,20.028,1300
2011-11-18,25.5385,25.5385,25.5299,25.5299,20.1428,1050
2011-11-21,25.17,25.25,25.05,25.14,19.8351,4937
2011-11-23,24.8,24.89,24.71,24.8,19.5669,9520
2011-11-25,24.44,24.7899,24.44,24.7899,19.5589,1500
2011-11-28,25.23,25.31,25.23,25.31,19.9693,2424
2011-11-29,25.34,25.34,25.34,25.34,19.9929,200
2011-11-30,26.45,26.45,25.8,26,20.5137,4756
2011-12-01,26.76,26.76,26.07,26.2,20.6715,1900
2011-12-02,26.18,26.1801,26.12,26.12,20.6083,700
2011-12-05,26.227,26.339,26.065,26.065,20.5649,5075
2011-12-06,26.2,26.29,26.2,26.29,20.7425,3483
2011-12-07,26.15,26.29,26.15,26.29,20.7425,2941
2011-12-08,26.25,26.4649,25.98,26.4649,20.8805,3500
2011-12-09,26.23,26.31,26.23,26.31,20.7582,1158
2011-12-12,28.77,28.77,25.88,25.94,20.4663,3752
2011-12-13,26.99,26.99,25.85,25.88,20.419,27782
2011-12-14,25.8,25.88,25.76,25.79,20.348,123641
2011-12-15,25.94,25.94,25.9,25.9,20.4348,3100
2011-12-16,25.89,25.93,25.89,25.91,20.4426,14300
2011-12-21,26.36,26.47,26.35,26.45,20.8687,5301
2011-12-22,26.58,26.58,26.4,26.46,20.9387,1785
2011-12-23,26.72,26.72,26.58,26.67,21.1048,4078
2011-12-27,26.7398,26.84,26.7398,26.84,21.2394,6232
2011-12-28,26.68,26.68,26.5972,26.64,21.0811,3388
2011-12-29,26.69,26.77,26.68,26.75,21.1681,7117
2011-12-30,26.84,26.84,26.7,26.72,21.1444,3193
2012-01-03,26.96,26.97,26.71,26.71,21.1365,11928
2012-01-04,26.6714,26.7,26.5825,26.6,21.0494,22948
2012-01-05,26.5,26.69,26.5,26.6,21.0494,10288
2012-01-06,27.16,27.16,26.6899,26.6899,21.1206,1498
2012-01-09,26.59,26.68,26.59,26.68,21.1127,2461
2012-01-10,27.12,27.12,26.808,26.83,21.2314,9190
2012-01-11,27.24,27.24,26.79,26.82,21.2235,4214
2012-01-12,26.82,26.9199,26.8049,26.9199,21.3026,1982
2012-01-13,26.68,26.7999,26.68,26.7999,21.2076,9990
2012-01-17,27.2,27.2,26.91,26.9599,21.3342,26048
2012-01-18,27.01,27.1,27.0045,27.1,21.4451,19476
2012-01-19,27.14,27.22,27.14,27.19,21.5163,3385
