,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2004-01-30,49.52,49.96,49.52,49.87,32.2835,416600
1,2004-02-02,49.98,50.38,49.89,50.09,32.426,2300
2,2004-02-03,50.05,50.17,50.01,50.14,32.4583,1400
3,2004-02-04,49.92,49.92,49.68,49.68,32.1605,3400
4,2004-02-05,49.66,49.77,49.49,49.77,32.2188,1000
5,2004-02-06,49.9,50.47,49.9,50.43,32.6461,2700
6,2004-02-09,50.51,50.58,50.51,50.51,32.6978,16700
7,2004-02-10,50.53,50.53,50.42,50.53,32.7108,800
8,2004-02-11,50.88,51.17,50.88,51.15,33.1122,3900
9,2004-02-12,51.12,51.13,50.95,50.95,32.9827,2200
10,2004-02-13,51.21,51.31,50.98,51.02,33.028,1500
11,2004-02-17,51.27,51.46,51.27,51.38,33.261,9400
12,2004-02-18,51.35,51.39,51.15,51.18,33.1316,2500
13,2004-02-19,51.29,51.33,51.12,51.12,33.0927,3000
14,2004-02-20,51.0,51.14,50.75,51.14,33.1057,1200
15,2004-02-23,51.02,51.02,50.91,51.0,33.0151,2400
16,2004-02-24,50.85,50.91,50.73,50.73,32.8403,600
17,2004-02-25,50.75,50.93,50.75,50.93,32.9697,500
18,2004-02-26,50.9,50.9,50.9,50.9,32.9503,100
19,2004-02-27,51.15,51.32,51.15,51.32,33.2222,2400
20,2004-03-01,51.45,51.65,51.45,51.63,33.4229,800
21,2004-03-02,51.62,51.62,51.5,51.5,33.3387,1700
22,2004-03-03,51.41,51.73,51.39,51.65,33.4358,2200
23,2004-03-04,51.63,51.63,51.63,51.63,33.4229,200
24,2004-03-05,51.68,52.25,51.68,52.25,33.8242,1000
25,2004-03-08,52.18,52.26,52.0,52.0,33.6624,4900
26,2004-03-09,51.6,51.6,51.47,51.59,33.397,900
27,2004-03-10,51.53,51.53,51.32,51.32,33.2222,2600
28,2004-03-11,50.75,51.01,50.17,50.17,32.4777,2600
29,2004-03-12,50.66,50.66,50.57,50.57,32.7367,700
30,2004-03-15,50.61,50.61,50.0,50.05,32.4001,2000
31,2004-03-16,50.35,50.36,50.33,50.33,32.5813,1300
32,2004-03-17,50.79,51.14,50.79,51.14,33.1057,3300
33,2004-03-18,50.95,51.17,50.7,51.17,33.1251,1400
34,2004-03-19,50.67,50.67,50.67,50.67,32.8014,100
35,2004-03-22,50.29,50.29,49.88,49.99,32.3612,2400
36,2004-03-23,50.22,50.25,50.04,50.15,32.4648,1700
37,2004-03-24,49.75,49.75,49.75,49.75,32.2059,100
38,2004-03-25,49.87,50.28,49.8,50.28,32.549,5000
39,2004-03-26,50.15,50.29,50.15,50.29,32.5554,700
40,2004-03-29,50.45,50.77,50.44,50.76,32.8597,800
41,2004-03-30,51.01,51.06,51.0,51.0,33.0151,800
42,2004-03-31,50.81,51.04,50.81,51.04,33.0409,7900
43,2004-04-01,51.45,51.59,51.45,51.58,33.3905,2400
44,2004-04-02,51.89,51.89,51.06,51.06,33.0539,3300
45,2004-04-05,50.9,51.13,50.9,51.13,33.0992,3400
46,2004-04-06,51.01,51.01,51.01,51.01,33.0215,100
47,2004-04-07,50.83,50.83,50.81,50.81,32.8921,600
48,2004-04-08,51.19,51.19,50.8,50.8,32.8856,300
49,2004-04-12,51.06,51.09,50.73,50.73,32.8403,9000
50,2004-04-13,50.79,50.79,50.07,50.07,32.413,1800
51,2004-04-14,49.58,49.75,48.98,48.98,31.7074,2700
52,2004-04-15,49.3,49.3,49.02,49.02,31.7333,2300
53,2004-04-16,49.41,49.41,49.41,49.41,31.9858,200
54,2004-04-19,49.55,49.55,49.16,49.42,31.9922,1500
55,2004-04-20,49.58,49.58,48.76,48.76,31.565,2700
56,2004-04-21,48.32,48.62,48.32,48.62,31.4743,1200
57,2004-04-22,48.55,48.8,48.55,48.8,31.5909,300
58,2004-04-23,49.05,49.19,49.05,49.18,31.8369,4900
59,2004-04-26,49.15,49.15,49.02,49.02,31.7333,1700
60,2004-04-27,49.01,49.31,49.01,49.21,31.8563,1600
61,2004-04-28,48.62,48.62,48.5,48.5,31.3967,900
62,2004-04-29,48.6,48.69,48.4,48.43,31.3514,1000
63,2004-04-30,48.0,48.0,48.0,48.0,31.073,300
64,2004-05-03,48.36,48.45,48.36,48.45,31.3643,2300
65,2004-05-04,48.44,49.16,48.44,49.16,31.8239,700
66,2004-05-06,48.46,48.46,48.22,48.22,31.2154,1500
67,2004-05-07,48.0,48.0,47.63,47.63,30.8335,300
68,2004-05-10,46.76,46.76,46.21,46.62,30.1796,9700
69,2004-05-11,46.68,47.08,46.68,46.96,30.3997,26200
70,2004-05-13,47.38,47.96,47.38,47.96,31.0471,200
71,2004-05-14,47.77,47.77,47.53,47.73,30.8982,1900
72,2004-05-17,47.14,47.14,46.73,47.1,30.4904,1800
73,2004-05-18,47.48,47.54,47.48,47.54,30.7752,300
74,2004-05-19,47.87,48.1,47.67,47.67,30.8594,2100
75,2004-05-24,48.13,48.13,48.13,48.13,31.1571,100
76,2004-05-25,48.52,48.52,48.52,48.52,31.4096,200
77,2004-05-27,49.02,49.2,49.02,49.2,31.8498,300
78,2004-05-28,49.26,49.26,49.25,49.25,31.8822,200
79,2004-06-01,49.28,49.28,49.14,49.14,31.811,400
80,2004-06-02,49.25,49.5,49.25,49.5,32.044,1900
81,2004-06-04,49.55,49.55,49.55,49.55,32.0764,100
82,2004-06-07,49.68,50.0,49.68,50.0,32.3677,1100
83,2004-06-08,49.9,49.94,49.9,49.94,32.3289,1000
84,2004-06-14,49.2,49.2,49.19,49.19,31.8433,800
85,2004-06-15,49.39,49.51,49.19,49.2,31.8498,700
86,2004-06-16,49.29,49.29,49.29,49.29,31.9081,200
87,2004-06-17,49.18,49.33,49.18,49.33,31.934,1300
88,2004-06-18,49.65,49.65,49.53,49.53,32.0634,1300
