Date,Open,High,Low,Close,Adjusted_close,Volume
1998-12-22,23.3125,23.3906,23.1875,23.2656,12.4227,15200
1998-12-23,23.3438,23.75,23.3125,23.75,12.6813,67800
1998-12-24,23.8125,23.8125,23.5938,23.625,12.6146,12300
1998-12-28,23.75,23.75,23.3438,23.5,12.5478,13500
1998-12-29,23.5625,23.7344,23.3438,23.7344,12.673,22000
1998-12-30,23.7188,23.7188,23.3594,23.375,12.4811,21800
1998-12-31,23.3438,23.3438,23.2188,23.3438,12.4644,13000
1999-01-04,23.2813,23.75,23.2813,23.3281,12.456,28600
1999-01-05,23.4688,23.4688,23.1719,23.2031,12.3893,42700
1999-01-06,23.4688,24,23.3125,23.9688,12.7981,56400
1999-01-07,23.9688,23.9844,23.5781,23.8594,12.7397,72600
1999-01-08,24,24.5625,23.375,23.9688,12.7981,421100
1999-01-11,23.75,23.7813,23.4375,23.5156,12.5562,35000
1999-01-12,23.5,23.5938,23.125,23.1563,12.3643,89200
1999-01-13,22.75,23.1875,22.6875,22.8125,12.1807,42400
1999-01-14,22.75,22.875,22.375,22.375,11.9471,70000
1999-01-15,22.5625,22.75,22.4531,22.7188,12.1307,10700
1999-01-19,22.8125,22.8125,22.5313,22.7188,12.1307,12800
1999-01-20,22.5938,22.8125,22.5156,22.5313,12.0306,15800
1999-01-21,22.5313,22.9063,22.5,22.7188,12.1307,23900
1999-01-22,22.75,22.8125,22.5625,22.5938,12.0639,19300
1999-01-25,22.6875,22.6875,22.375,22.5625,12.0472,18200
1999-01-26,22.5938,22.5938,22.1563,22.3438,11.9304,25700
1999-01-27,22.375,22.375,21.875,21.9375,11.7135,37100
1999-01-28,22,22,21.625,21.8125,11.6468,30800
1999-01-29,21.6875,21.8125,21.4375,21.8125,11.6468,18600
1999-02-01,21.8125,21.875,21.5938,21.5938,11.53,23100
1999-02-02,21.625,21.8125,21.5313,21.625,11.5467,26500
1999-02-03,21.75,22.25,21.75,22.125,11.8136,29400
1999-02-04,22.125,22.3125,22.0625,22.25,11.8804,26000
1999-02-05,22.3125,22.9375,22.1875,22.875,12.2141,66000
1999-02-08,22.9688,23.1875,22.9375,23.1875,12.381,31100
1999-02-09,23.2188,23.2188,22.75,22.75,12.1474,64300
