,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1998-12-22,30.25,30.25,29.8281,29.8281,12.3627,7900
1,1998-12-23,29.7969,29.7969,29.6406,29.7031,12.3109,24100
2,1998-12-24,30.2188,30.3125,30.1563,30.25,12.5376,23800
3,1998-12-28,30.1875,30.25,30.0469,30.0938,12.4728,3100
4,1998-12-29,30.2188,30.6719,30.2188,30.5938,12.6801,12000
5,1998-12-30,30.75,30.8281,30.3438,30.3438,12.5764,70400
6,1998-12-31,30.2344,30.2344,30.0313,30.2344,12.5311,21600
7,1999-01-04,30.0156,30.25,29.625,29.75,12.3303,109300
8,1999-01-05,29.9844,30.1094,29.8594,30.1094,12.4793,111200
9,1999-01-06,30.2031,30.5156,30.2031,30.4219,12.6088,41000
10,1999-01-07,30.4219,30.7344,30.25,30.3125,12.5635,222300
11,1999-01-08,30.4063,30.5156,30.1094,30.4844,12.6347,135900
12,1999-01-11,30.3125,30.3125,29.5625,29.6719,12.298,129000
13,1999-01-12,29.6406,30.125,29.5313,29.6875,12.3044,7100
14,1999-01-13,29.5,30.1094,29.5,29.8906,12.3886,25900
15,1999-01-14,29.4688,29.7656,29.25,29.3906,12.1814,20000
16,1999-01-15,29.5,29.7969,29.4219,29.5313,12.2397,6900
17,1999-01-19,30.4375,30.5313,30.0,30.5313,12.6541,12200
18,1999-01-20,30.5625,30.7344,30.2813,30.4063,12.6023,32700
19,1999-01-21,30.625,30.625,30.2969,30.2969,12.557,20500
20,1999-01-22,30.0938,30.7188,29.9688,30.5,12.6412,20800
21,1999-01-25,30.5,30.5,29.3594,29.3594,12.1684,13600
22,1999-01-26,29.6875,29.9375,29.2344,29.9375,12.4081,15200
23,1999-01-27,29.8594,29.8594,29.4844,29.4844,12.2203,7800
24,1999-01-28,29.5625,29.9375,29.5313,29.5313,12.2397,17600
25,1999-01-29,29.5313,29.6563,29.2031,29.4844,12.2203,39800
26,1999-02-01,29.6563,29.6563,29.25,29.4219,12.1944,12200
27,1999-02-02,29.0469,29.1094,28.6563,29.0313,12.0325,27700
28,1999-02-03,28.875,29.2188,28.875,29.1875,12.0972,32500
29,1999-02-04,29.1406,29.1406,28.75,28.75,11.9159,18200
30,1999-02-05,28.8594,29.0156,28.7656,28.7656,11.9224,8100
31,1999-02-08,28.7813,28.9688,28.7188,28.7656,11.9224,13300
32,1999-02-09,28.8281,29.1563,28.7656,28.8906,11.9742,12200
33,1999-02-10,28.8906,28.9844,28.6719,28.6875,11.89,8000
34,1999-02-11,28.7656,28.9688,28.6719,28.8125,11.9418,4400
35,1999-02-12,28.9531,28.9531,28.2188,28.3438,11.7475,103000
36,1999-02-16,28.7188,28.8594,28.6406,28.8594,11.9612,59300
37,1999-02-17,28.7813,29.25,28.6563,28.6563,11.877,57400
38,1999-02-18,28.7813,29.5625,28.6563,29.1719,12.0907,14000
39,1999-02-19,29.0156,29.1563,28.75,28.8594,11.9612,9600
40,1999-02-22,28.9688,29.7969,28.9688,29.7969,12.3498,6900
41,1999-02-23,29.5313,29.5313,28.75,28.8594,11.9612,15100
42,1999-02-24,28.9531,29.5625,28.9531,29.125,12.0713,66000
43,1999-02-25,28.9375,28.9688,28.375,28.5,11.8123,23600
44,1999-02-26,28.7031,28.7031,28.2656,28.6719,11.8835,11400
45,1999-03-01,28.4375,28.4375,28.0781,28.25,11.7087,8400
46,1999-03-02,28.4375,28.5156,27.8281,27.8281,11.5338,10300
47,1999-03-03,27.8438,28.0156,27.8438,27.8438,11.5403,4700
48,1999-03-04,28.0781,28.2813,28.0,28.2813,11.7216,5700
49,1999-03-05,28.75,28.8125,28.4219,28.7656,11.9224,21000
50,1999-03-08,28.6406,28.6406,28.2969,28.4375,11.7864,39100
51,1999-03-09,28.4688,28.5781,28.1875,28.3594,11.754,5800
52,1999-03-10,28.2344,28.375,28.1719,28.2656,11.7151,34000
53,1999-03-11,28.2969,28.6563,28.2188,28.4844,11.8058,9600
54,1999-03-12,28.8906,28.9219,28.6563,28.7969,11.9353,7800
55,1999-03-15,28.9219,29.0,28.75,28.875,11.9677,15900
56,1999-03-16,28.7813,28.9219,28.6094,28.7656,11.9224,10100
57,1999-03-17,28.8281,28.8906,28.5,28.5,11.8123,12100
58,1999-03-18,28.4375,28.9219,28.4375,28.9219,11.9871,13800
59,1999-03-19,28.5938,28.75,28.2031,28.2031,11.7661,51000
60,1999-03-22,28.2031,28.5313,28.2031,28.2969,11.8052,38400
61,1999-03-23,28.0469,28.0469,27.2344,27.4063,11.4337,34400
62,1999-03-24,27.5938,27.9063,27.25,27.7813,11.5901,23700
63,1999-03-25,27.7969,27.7969,27.5313,27.6875,11.551,7600
64,1999-03-26,27.2656,27.3906,27.1563,27.3281,11.4011,12300
65,1999-03-29,27.3906,27.5469,27.1875,27.1875,11.3424,14500
66,1999-03-30,26.9375,27.0781,26.75,26.75,11.1599,11500
67,1999-03-31,26.9375,26.9844,26.6875,26.6875,11.1338,20500
68,1999-04-01,26.7969,27.25,26.7969,27.25,11.3685,11200
69,1999-04-05,27.3281,27.5781,27.1875,27.4688,11.4597,8400
70,1999-04-06,27.5,27.625,27.2969,27.3281,11.4011,38900
71,1999-04-07,27.5625,27.75,27.4375,27.6875,11.551,29100
72,1999-04-08,27.7813,28.5313,27.7813,28.4219,11.8574,44900
73,1999-04-09,28.4688,28.4688,28.1563,28.2188,11.7726,17300
74,1999-04-12,28.25,28.6719,28.1563,28.625,11.9421,9500
75,1999-04-13,28.625,28.6563,28.1563,28.1563,11.7466,13000
76,1999-04-14,28.25,28.25,27.7344,27.75,11.5771,26600
77,1999-04-15,27.8281,28.1406,27.8281,28.0313,11.6944,17500
78,1999-04-16,28.1875,28.4063,28.1719,28.3438,11.8248,2800
79,1999-04-19,28.625,29.125,28.5781,28.625,11.9421,11900
80,1999-04-20,28.6563,28.9375,28.6563,28.9375,12.0725,10300
81,1999-04-21,29.0625,29.4531,28.8594,29.4531,12.2876,19600
82,1999-04-22,29.3906,29.3906,28.9844,29.3594,12.2485,13200
83,1999-04-23,29.5313,29.5313,29.3125,29.3438,12.242,6100
84,1999-04-26,29.3438,29.5469,29.1875,29.1875,12.1768,6100
85,1999-04-27,29.0469,29.375,29.0469,29.3594,12.2485,8700
86,1999-04-28,29.4844,29.5469,29.2344,29.2344,12.1963,8700
87,1999-04-29,29.7344,29.8281,29.6406,29.6563,12.3723,13700
88,1999-04-30,29.5313,29.5938,29.0,29.2656,12.2094,32500
89,1999-05-03,29.3594,29.7969,29.3594,29.7031,12.3919,4400
90,1999-05-04,29.875,29.875,29.375,29.4531,12.2876,50200
91,1999-05-05,29.5156,29.6875,29.3906,29.6875,12.3854,627100
92,1999-05-06,29.4688,29.5625,29.0625,29.0625,12.1246,16700
93,1999-05-07,29.4219,29.5938,29.4219,29.4219,12.2746,6100
94,1999-05-10,29.4219,29.4219,29.3281,29.3438,12.242,4100
95,1999-05-11,29.2656,29.4688,29.0469,29.4531,12.2876,15600
96,1999-05-12,29.3906,29.5313,29.2344,29.5313,12.3202,11800
97,1999-05-13,29.4219,30.0,29.4219,29.9219,12.4832,10300
98,1999-05-14,29.6563,29.6563,29.3594,29.3594,12.2485,15600
99,1999-05-17,29.5469,29.9844,29.3281,29.9688,12.5027,10200
100,1999-05-18,29.9219,29.9219,29.2656,29.3125,12.2289,10800
101,1999-05-19,29.6094,29.9531,29.6094,29.9219,12.4832,31100
102,1999-05-20,29.8906,30.1094,29.6875,29.8594,12.4571,28200
103,1999-05-21,29.6875,29.7656,29.5781,29.5781,12.3397,7000
104,1999-05-24,29.9219,30.0313,29.7031,29.875,12.4636,10900
105,1999-05-25,30.0,30.3438,29.875,29.9063,12.4766,20900
106,1999-05-26,29.8594,30.1406,29.7188,30.0625,12.5418,14900
107,1999-05-27,29.9375,29.9375,29.5313,29.5469,12.3267,8900
108,1999-05-28,29.625,29.7031,29.6094,29.6094,12.3528,3100
109,1999-06-01,29.5156,29.5938,29.25,29.5938,12.3463,5400
110,1999-06-02,29.7031,29.7344,29.4063,29.5938,12.3463,60000
111,1999-06-03,29.5938,29.5938,29.2031,29.3125,12.2289,8200
112,1999-06-04,29.5625,29.75,29.5313,29.75,12.4115,13400
113,1999-06-07,29.9375,30.0781,29.8281,30.0,12.5158,10900
114,1999-06-08,30.1719,30.2656,30.0,30.0,12.5158,4300
115,1999-06-09,30.125,30.2813,30.0938,30.2344,12.6135,5000
116,1999-06-10,30.0,30.0,29.7188,29.9844,12.5092,4800
117,1999-06-11,30.0,30.0313,29.75,29.7813,12.4245,7300
118,1999-06-14,30.1563,30.6406,30.1406,30.6094,12.77,79600
119,1999-06-15,30.6719,30.8125,30.625,30.6406,12.783,43500
120,1999-06-16,30.7188,31.0,30.7188,30.9375,12.9069,124900
121,1999-06-17,30.7031,30.8438,30.625,30.6719,12.7961,4000
122,1999-06-18,30.7813,30.875,30.5469,30.5938,12.8418,68500
123,1999-06-21,30.4219,30.5781,30.2344,30.3594,12.7434,58600
124,1999-06-22,30.2813,30.4531,30.25,30.25,12.6975,11000
125,1999-06-23,30.3594,30.3594,30.0938,30.1563,12.6581,8700
126,1999-06-24,29.9219,29.9219,29.6719,29.8281,12.5204,5100
127,1999-06-25,29.7188,30.0313,29.6719,29.6719,12.4548,18200
128,1999-06-28,29.9375,30.1563,29.9375,29.9844,12.586,9900
129,1999-06-29,29.9375,30.0625,29.7813,30.0,12.5925,3900
130,1999-06-30,30.2031,30.9219,30.0313,30.6406,12.8614,26100
131,1999-07-01,30.7969,30.7969,30.4688,30.5313,12.8155,28500
132,1999-07-02,30.4375,30.5469,30.3438,30.5469,12.8221,7600
133,1999-07-06,30.4531,30.6875,30.2969,30.4531,12.7827,11400
134,1999-07-07,30.5625,30.7344,30.5469,30.7344,12.9008,7700
135,1999-07-08,30.7813,30.7813,30.4844,30.4844,12.7958,4900
