Date,Open,High,Low,Close,Adjusted_close,Volume
1998-12-22,24.8125,25.0625,24.8125,25.0313,17.3663,5700
1998-12-23,25.1875,25.5938,25.1875,25.5938,17.7565,18100
1998-12-24,25.625,25.75,25.5156,25.75,17.8649,4900
1998-12-28,25.6719,25.75,25.375,25.375,17.6048,15500
1998-12-29,25.375,25.9375,25.375,25.9375,17.995,5300
1998-12-30,26,26.0313,25.7188,25.7188,17.8433,17300
1998-12-31,25.8125,26,25.75,26,18.0384,6600
1999-01-04,26.25,26.375,25.7813,25.9375,17.995,249200
1999-01-05,26,26.3438,26,26.3438,18.2769,4400
1999-01-06,26.5313,26.7813,26.4688,26.7813,18.5804,38500
1999-01-07,26.5313,26.6875,26.3438,26.6563,18.4937,15900
1999-01-08,26.7188,26.9844,26.7188,26.9844,18.7213,24400
1999-01-11,26.9688,27.25,26.8125,27.0469,18.7647,7700
1999-01-12,27.125,27.25,26.9063,26.9375,18.6888,270700
1999-01-13,25.7813,26.875,25.7813,26.6875,18.5154,7100
1999-01-14,26.7813,26.8594,26.375,26.4688,18.3636,12200
1999-01-15,26.5625,26.9063,26.5625,26.8281,18.6129,7700
1999-01-19,27.2813,27.6563,27.125,27.5938,19.1441,22700
1999-01-20,27.75,28.125,27.5938,27.75,19.2525,25800
1999-01-21,27.6875,27.6875,26.7188,26.7813,18.5804,23200
1999-01-22,26.5938,26.875,26.4063,26.6719,18.5045,67100
1999-01-25,26.6875,26.9063,26.6875,26.8906,18.6563,495300
1999-01-26,26.9375,27.0313,26.6719,27.0156,18.743,187400
1999-01-27,27.0938,27.0938,26.75,26.75,18.5587,6800
1999-01-28,27,27.3438,27,27.25,18.9056,25800
1999-01-29,27.2813,27.2813,26.9063,27.25,18.9056,13800
1999-02-01,27.375,27.4688,27.1563,27.4063,19.014,34000
1999-02-02,26.9688,27.0469,26.625,27,18.7322,141700
1999-02-03,26.9375,27.5156,26.9375,27.5156,19.0899,38900
1999-02-04,27.3438,27.4375,27.125,27.3125,18.949,7400
1999-02-05,27.3125,27.3125,26.8125,27,18.7322,16900
1999-02-08,27.125,27.125,26.875,26.9844,18.7213,6500
1999-02-09,27.0625,27.0938,26.5,26.5,18.3853,220800
1999-02-10,26.3125,26.5625,26.1875,26.5625,18.4286,17800
1999-02-11,26.4688,27.2813,26.375,27.2813,18.9273,5300
1999-02-12,27.125,27.125,26.7188,26.875,18.6454,8400
1999-02-16,27,27.3125,27,27.125,18.8189,18500
1999-02-17,27.0625,27.25,26.8125,26.8438,18.6238,12900
1999-02-18,26.9375,27.2031,26.7656,27.1875,18.8622,11500
1999-02-19,27.1875,27.375,27.1875,27.2656,18.9164,13900
1999-02-22,27.375,27.8594,27.3125,27.8438,19.3175,17800
1999-02-23,27.9063,27.9063,27.5,27.7969,19.285,15000
1999-02-24,27.875,27.9844,27.4688,27.4688,19.0574,28000
1999-02-25,27.3438,27.3438,26.875,27.2031,18.8731,98900
1999-02-26,27.3125,27.3594,26.8906,27.2813,18.9273,10800
1999-03-01,27.2188,27.25,26.9063,27.2344,18.8948,8800
1999-03-02,27.4063,27.6406,27.0469,27.2188,18.8839,11500
1999-03-03,27.3125,27.3125,27,27.0469,18.7647,13100
1999-03-04,27.4375,27.5313,27.2344,27.5313,19.1007,10400
1999-03-05,27.9375,28.2188,27.8438,28.1563,19.5344,25400
1999-03-08,28.0938,28.1875,27.9375,28.1875,19.556,62700
1999-03-09,27.8438,28.25,27.8125,27.9688,19.4043,12200
1999-03-10,27.9375,28.2188,27.7813,28.2188,19.5777,10700
1999-03-11,28.2188,28.5625,28.2188,28.4063,19.7078,23600
1999-03-12,28.5313,28.6563,28.25,28.25,19.5994,24600
1999-03-15,28.4375,28.5469,28.2188,28.3438,19.6644,144800
1999-03-16,28.4375,28.4375,28.2344,28.2813,19.6211,9100
1999-03-17,28.1875,28.3594,28.0156,28.125,19.5127,2700
1999-03-18,27.9688,28.5156,27.9688,28.5156,19.7837,9500
1999-03-19,28.5313,28.6563,28.2813,28.3906,19.697,6900
1999-03-22,28.3125,28.5938,28.2813,28.3125,19.6428,40900
1999-03-23,28.25,28.25,27.4375,27.5313,19.1007,15400
1999-03-24,27.4688,27.6563,27.3438,27.6563,19.1875,12800
1999-03-25,27.9063,28.125,27.75,28.125,19.5127,9700
1999-03-26,27.9219,28.0313,27.8438,27.9063,19.3609,6600
1999-03-29,27.9375,28.3281,27.9375,28.25,19.5994,8100
1999-03-30,28.2188,28.3594,28.0938,28.1563,19.5344,37300
1999-03-31,28.25,28.25,28,28,19.4259,6300
1999-04-01,28,28.0781,27.6563,28,19.4259,22500
1999-04-05,28.4375,28.75,28.4375,28.625,19.8596,12400
1999-04-06,28.75,28.875,28.5625,28.6563,19.8812,14500
1999-04-07,28.8438,29.3438,28.8438,29.2031,20.2607,15700
1999-04-08,29.125,29.5,29.0938,29.5,20.4666,29600
1999-04-09,29.5,29.5938,29.2813,29.5938,20.5317,6600
1999-04-12,29.2813,30.3438,29.2813,30.3438,21.052,87300
1999-04-13,30.4375,30.4688,30.0313,30.0313,20.8352,23600
1999-04-14,30.25,30.3125,29.75,29.75,20.6401,96900
1999-04-15,29.8125,29.8125,28.7813,29,20.1197,17800
1999-04-16,29,29,28.5313,28.7188,19.9246,10400
1999-04-19,28.9375,29.0938,27.875,27.9375,19.3826,32700
1999-04-20,28.125,28.4688,27.9063,28.4688,19.7512,15700
1999-04-21,28.4063,29.125,28.4063,29.125,20.2065,16000
1999-04-22,29.25,29.8438,29.25,29.7188,20.6184,20200
1999-04-23,29.9063,30.3906,29.9063,30.3906,21.0845,9800
1999-04-26,30.5313,30.5313,30.1875,30.3438,21.052,36200
1999-04-27,30.5781,30.5938,30.0938,30.375,21.0737,13900
1999-04-28,30.25,30.25,29.5625,29.5625,20.51,25500
1999-04-29,29.625,29.8125,29.0313,29.2188,20.2715,9800
1999-04-30,29.4375,29.5938,29,29,20.1197,5800
1999-05-03,29.3438,29.5938,29.25,29.5625,20.51,13000
1999-05-04,29.6875,29.6875,29,29,20.1197,23000
1999-05-05,29.0938,29.3125,28.8125,29.25,20.2932,17100
1999-05-06,29.375,29.5938,29.3125,29.375,20.3799,17500
1999-05-07,29.625,29.625,29.1875,29.2813,20.3149,8000
1999-05-10,29.3125,29.5625,29.1563,29.2188,20.2715,27300
1999-05-11,29.5625,29.75,29.5,29.6875,20.5967,51000
1999-05-12,29.4688,30.0625,29.4063,29.9688,20.7918,8100
1999-05-13,30.0938,30.0938,29.75,29.7813,20.6618,9600
1999-05-14,29.125,29.3125,29.125,29.25,20.2932,4600
1999-05-17,28.9063,29.0625,28.6875,29.0625,20.1631,5800
1999-05-18,28.9375,29.2188,28.75,28.75,19.9463,8500
