,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2006-06-22,31.27,31.27,31.11,31.21,11.475,10400
1,2006-06-23,31.49,31.49,31.49,31.49,11.5779,50000
2,2006-06-29,31.58,31.58,31.58,31.58,11.611,200
3,2006-06-30,32.06,32.06,32.06,32.06,11.7875,200
4,2006-07-03,31.89,31.96,31.89,31.96,11.7507,2200
5,2006-07-11,31.65,31.65,31.65,31.65,11.6367,200
6,2006-07-14,31.13,31.21,31.13,31.21,11.475,30000
7,2006-07-18,31.23,31.25,30.96,31.05,11.4161,38000
8,2006-07-21,30.98,31.04,30.96,31.04,11.4125,342800
9,2006-07-24,31.62,31.72,31.62,31.72,11.6625,123800
10,2006-07-25,31.8099,32.07,31.8099,32.07,11.7912,16000
11,2006-07-26,32.39,32.41,32.37,32.4,11.9125,99400
12,2006-07-27,32.4199,32.4199,32.2,32.2,11.839,6000
13,2006-07-28,32.35,32.66,32.35,32.66,12.0081,10400
14,2006-07-31,32.58,32.58,32.47,32.47,11.9382,9800
15,2006-08-01,32.4,32.47,32.39,32.43,11.9235,16000
16,2006-08-04,33.05,33.05,32.7,32.78,12.0522,18200
17,2006-08-07,32.23,32.23,32.23,32.23,11.85,200
18,2006-08-08,32.28,32.4,32.15,32.15,11.8206,76800
19,2006-08-09,32.57,32.6,32.3,32.3,11.8757,5400
20,2006-08-10,32.21,32.38,32.17,32.38,11.9051,1600
21,2006-08-11,32.44,32.44,32.18,32.18,11.8316,122400
22,2006-08-14,32.4,32.57,32.32,32.32,11.8831,2200
23,2006-08-15,32.45,32.77,32.45,32.77,12.0485,7600
24,2006-08-16,32.95,33.16,32.95,33.16,12.1919,5800
25,2006-08-17,33.13,33.22,33.09,33.17,12.1956,5600
26,2006-08-18,33.2,33.25,33.05,33.21,12.2103,6800
27,2006-08-21,33.09,33.09,33.03,33.08,12.1625,3600
28,2006-08-22,33.0,33.17,32.99,33.13,12.1809,13600
29,2006-08-23,33.2,33.2,33.05,33.06,12.1551,8000
30,2006-08-24,33.26,33.26,33.06,33.15,12.1882,3800
31,2006-08-25,33.13,33.2,33.07,33.17,12.1956,3200
32,2006-08-28,33.25,33.41,33.25,33.3,12.2434,6000
33,2006-08-29,33.4,33.54,33.36,33.54,12.3316,15000
34,2006-08-30,33.54,33.63,33.54,33.61,12.3574,5200
35,2006-08-31,33.52,33.52,33.39,33.49,12.3132,6600
36,2006-09-01,33.69,33.69,33.64,33.69,12.3868,3200
37,2006-09-05,33.61,33.63,33.54,33.62,12.361,7200
38,2006-09-06,33.6,33.6,33.22,33.25,12.225,5800
39,2006-09-07,33.22,33.22,33.0,33.04,12.1478,20600
40,2006-09-08,33.04,33.39,33.04,33.37,12.2691,117400
41,2006-09-11,33.26,33.45,33.26,33.45,12.2985,2800
42,2006-09-12,33.61,34.0,33.49,33.98,12.4934,17400
43,2006-09-13,33.86,34.02,33.85,34.02,12.5081,2000
44,2006-09-14,33.81,34.01,33.81,34.01,12.5044,4600
45,2006-09-15,34.05,34.09,34.03,34.05,12.5494,46200
46,2006-09-18,34.05,34.1,33.88,33.9,12.4941,7800
47,2006-09-19,33.78,33.81,33.63,33.79,12.4536,4600
48,2006-09-20,34.08,34.13,34.03,34.03,12.542,11200
49,2006-09-21,34.0,34.04,33.75,33.78,12.4499,12600
50,2006-09-22,33.6,33.65,33.55,33.56,12.3688,5800
51,2006-09-25,33.76,33.95,33.6,33.88,12.4867,19800
52,2006-09-26,33.94,34.01,33.87,33.956,12.5148,8400
53,2006-09-27,33.95,34.25,33.95,34.25,12.6231,7200
54,2006-09-28,34.19,34.29,34.08,34.29,12.6379,51000
55,2006-09-29,34.31,34.37,34.31,34.36,12.6637,11200
56,2006-10-02,34.51,34.52,34.22,34.22,12.6121,6200
57,2006-10-03,34.11,34.41,34.11,34.3,12.6415,141800
58,2006-10-04,34.3,34.54,34.23,34.5,12.7152,28000
59,2006-10-05,34.59,34.67,34.44,34.67,12.7779,52400
60,2006-10-06,34.69,34.76,34.6,34.76,12.8111,10400
61,2006-10-09,34.77,34.87,34.75,34.8499,12.8442,20600
62,2006-10-10,34.9,34.9,34.53,34.67,12.7779,13000
63,2006-10-11,34.65,34.69,34.5,34.64,12.7668,15200
64,2006-10-12,34.78,34.93,34.7603,34.93,12.8737,11800
65,2006-10-13,34.98,35.13,34.9299,35.13,12.9474,13200
66,2006-10-16,35.14,35.37,35.14,35.34,13.0248,33800
67,2006-10-17,35.24,35.45,35.19,35.39,13.0433,11200
68,2006-10-18,35.4,35.4,35.2,35.29,13.0064,10800
69,2006-10-19,35.36,35.43,35.2992,35.36,13.0322,73400
70,2006-10-20,35.44,35.44,35.25,35.43,13.058,7800
71,2006-10-23,35.18,35.34,35.18,35.33,13.0212,30400
72,2006-10-24,35.09,35.09,34.88,35.07,12.9253,146600
73,2006-10-25,35.18,35.18,34.92,35.04,12.9143,10800
74,2006-10-26,35.18,35.18,34.82,35.13,12.9474,17400
75,2006-10-27,34.9,34.98,34.8,34.86,12.8479,112800
76,2006-10-30,34.8,34.8,34.62,34.68,12.7816,59400
77,2006-10-31,34.79,34.79,34.55,34.6,12.7521,31400
78,2006-11-01,34.72,34.9,34.3,34.32,12.6489,92400
79,2006-11-02,34.32,34.36,34.19,34.31,12.6452,53000
80,2006-11-03,34.39,34.4,34.12,34.18,12.5973,22800
81,2006-11-06,34.23,34.57,34.23,34.52,12.7226,25200
82,2006-11-07,34.55,34.94,34.55,34.78,12.8184,133400
83,2006-11-08,34.4,34.49,34.27,34.37,12.6673,315600
84,2006-11-09,34.27,34.28,33.44,33.51,12.3504,416400
85,2006-11-10,33.5,33.6099,33.28,33.51,12.3504,28400
86,2006-11-13,33.7,33.8,33.62,33.67,12.4093,38600
87,2006-11-14,33.61,33.92,33.44,33.92,12.5015,20000
88,2006-11-15,33.83,34.04,33.81,33.98,12.5236,25600
89,2006-11-16,34.1,34.33,34.1,34.33,12.6526,9400
90,2006-11-17,34.45,34.54,34.35,34.54,12.73,56400
91,2006-11-20,34.75,34.75,34.51,34.62,12.7595,9000
92,2006-11-21,34.7,34.7,34.4393,34.4393,12.6929,5600
93,2006-11-22,34.56,34.56,34.34,34.41,12.6821,3000
94,2006-11-24,34.41,34.41,34.41,34.41,12.6821,2000
95,2006-11-27,34.16,34.25,33.83,33.87,12.4831,7200
96,2006-11-28,34.05,34.06,33.86,33.97,12.5199,6000
97,2006-11-29,34.17,34.29,34.08,34.22,12.6121,10000
98,2006-11-30,34.29,34.34,34.21,34.3,12.6415,7200
99,2006-12-01,34.38,34.38,34.09,34.21,12.6084,10000
100,2006-12-04,34.39,34.47,34.37,34.47,12.7042,3800
101,2006-12-05,34.59,34.6799,34.57,34.6695,12.7777,7800
102,2006-12-06,34.63,34.65,34.5,34.574,12.7425,8600
103,2006-12-07,34.8,34.8,34.59,34.61,12.7558,4400
104,2006-12-08,34.52,34.699,34.52,34.699,12.7886,800
105,2006-12-11,34.55,34.5901,34.49,34.52,12.7226,4000
106,2006-12-12,34.6,34.61,34.43,34.48,12.7079,10200
107,2006-12-13,34.69,34.69,34.52,34.59,12.7484,66600
108,2006-12-14,34.72,34.8,34.65,34.76,12.8111,341600
109,2006-12-15,34.7,34.71,34.55,34.62,12.8255,5800
110,2006-12-18,34.52,34.64,34.28,34.34,12.7218,10800
111,2006-12-19,34.4,34.47,34.33,34.47,12.77,5400
112,2006-12-20,34.62,34.66,34.5,34.56,12.8033,3800
113,2006-12-21,34.6,34.61,34.48,34.61,12.8218,6200
114,2006-12-22,34.4,34.52,34.4,34.4571,12.7652,5400
115,2006-12-26,34.51,34.55,34.44,34.48,12.7737,5600
116,2006-12-27,34.62,34.64,34.57,34.57,12.807,1800
117,2006-12-28,34.71,34.71,34.61,34.61,12.8218,5400
118,2006-12-29,34.58,34.58,34.42,34.42,12.7514,10000
119,2007-01-03,34.87,34.93,34.46,34.55,12.7996,55400
120,2007-01-04,34.67,35.09,34.67,35.06,12.9885,1200
121,2007-01-05,34.74,34.8699,34.74,34.82,12.8996,4800
122,2007-01-08,34.77,34.99,34.7,34.99,12.9626,4400
123,2007-01-09,35.0,35.06,34.88,34.92,12.9367,12600
124,2007-01-10,34.92,35.04,34.9101,35.04,12.9811,2400
125,2007-01-11,35.11,35.24,35.11,35.24,13.0552,1600
126,2007-01-12,35.22,35.32,35.22,35.32,13.0848,1400
127,2007-01-16,35.41,35.462,35.17,35.17,13.0293,4000
128,2007-01-17,35.11,35.5,35.07,35.4,13.1145,4600
129,2007-01-18,35.42,35.65,35.4,35.6,13.1886,10000
130,2007-01-19,35.64,35.76,35.58,35.76,13.2479,6800
131,2007-01-22,35.8,35.8,35.5,35.5,13.1515,3400
132,2007-01-23,35.71,35.71,35.62,35.65,13.2071,2400
133,2007-01-24,35.88,35.96,35.75,35.9403,13.3146,4400
134,2007-01-25,35.88,35.88,35.56,35.73,13.2367,12800
135,2007-01-26,35.6,35.81,35.59,35.8032,13.2639,2600
136,2007-01-29,35.7699,35.77,35.74,35.77,13.2516,16000
137,2007-01-30,35.89,35.89,35.76,35.8204,13.2702,14200
138,2007-01-31,35.78,35.94,35.71,35.92,13.3071,15600
139,2007-02-01,35.84,36.08,35.84,36.08,13.3664,3800
140,2007-02-02,36.12,36.13,35.96,35.96,13.3219,3000
141,2007-02-05,35.83,35.83,35.72,35.7201,13.2331,5400
142,2007-02-06,35.76,35.87,35.74,35.87,13.2886,3200
143,2007-02-07,35.85,35.88,35.78,35.88,13.2923,3000
144,2007-02-08,35.97,36.0,35.95,35.95,13.3182,2000
145,2007-02-09,36.13,36.13,35.83,35.83,13.2738,6600
146,2007-02-12,35.95,35.95,35.68,35.74,13.2404,3500
147,2007-02-13,35.81,35.9,35.81,35.84,13.2775,34400
148,2007-02-14,35.95,35.95,35.95,35.95,13.3182,400
149,2007-02-15,35.9701,36.0499,35.9701,36.01,13.3405,8600
150,2007-02-16,36.0,36.0,35.98,35.98,13.3294,13200
151,2007-02-20,36.02,36.14,36.02,36.12,13.3812,1800
152,2007-02-21,36.0,36.01,34.96,36.0,13.3368,31400
153,2007-02-22,36.09,36.09,35.97,36.05,13.3553,2400
154,2007-02-23,35.92,35.97,35.78,35.95,13.3182,62000
155,2007-02-26,36.03,36.1,36.01,36.01,13.3405,1600
156,2007-02-27,35.68,35.68,34.9,35.17,13.0293,9400
157,2007-02-28,34.92,35.28,34.92,34.98,12.9589,15200
158,2007-03-01,34.38,34.85,34.3,34.7,12.8552,36000
159,2007-03-02,34.4,34.47,34.01,34.09,12.6292,40600
160,2007-03-05,34.0,34.05,33.77,33.77,12.5106,4400
161,2007-03-06,33.8801,34.24,33.8801,34.24,12.6847,2000
162,2007-03-07,34.09,34.14,34.04,34.04,12.6107,9400
163,2007-03-08,34.24,34.26,34.24,34.24,12.6847,1200
164,2007-03-09,34.34,34.34,34.21,34.32,12.7144,12800
165,2007-03-12,34.38,34.42,34.38,34.42,12.7514,2000
166,2007-03-13,34.35,34.35,33.84,33.84,12.5366,400
167,2007-03-14,33.67,33.69,33.39,33.69,12.481,2200
