Date,Open,High,Low,Close,Adjusted_close,Volume
2006-06-22,37.06,37.14,36.92,37.12,14.669,10200
2006-06-23,37.29,37.29,37.29,37.29,14.7362,50000
2006-06-27,36.7,36.78,36.58,36.59,14.4596,142000
2006-06-28,36.7,36.7,36.36,36.58,14.4556,83000
2006-06-29,36.92,37.51,36.68,37.51,14.8232,278000
2006-06-30,37.71,37.71,37.55,37.62,14.8666,758200
2006-07-05,37.31,37.31,36.84,37.14,14.6769,234000
2006-07-06,37.18,37.35,37.11,37.35,14.7599,170400
2006-07-07,37.06,37.3,36.98,37.06,14.6453,254000
2006-07-10,37.31,37.56,37.17,37.3,14.7402,697200
2006-07-11,37,37.31,36.76,37.3,14.7402,193000
2006-07-12,37.16,37.16,36.4,36.43,14.3964,250000
2006-07-13,36.07,36.22,35.79,35.9,14.1869,562200
2006-07-14,35.75,35.75,35.21,35.39,13.9854,264800
2006-07-17,35.46,35.76,35.4,35.52,14.0368,112600
2006-07-18,35.48,35.48,34.58,35.01,13.8352,399200
2006-07-19,35.28,35.95,35.28,35.85,14.1672,294800
2006-07-20,35.98,35.99,35.4,35.4,13.9893,509200
2006-07-21,35.13,35.15,34.85,34.95,13.8115,330600
2006-07-24,35.41,35.78,35.35,35.73,14.1197,261800
2006-07-25,36.01,36.19,35.61,36.07,14.2541,1268200
2006-07-26,35.68,35.69,35.35,35.35,13.9696,479800
2006-07-27,35.31,35.45,34.87,34.88,13.7838,72600
2006-07-28,35.01,35.38,34.99,35.29,13.9459,928600
2006-07-31,35.56,35.81,35.43,35.62,14.0763,1606600
2006-08-01,35.17,35.19,34.72,34.91,13.7957,315600
2006-08-02,35.11,35.21,34.88,35.04,13.8471,1385200
2006-08-03,34.83,36.06,34.83,35.84,14.1632,1920400
2006-08-04,36.37,36.52,35.67,35.89,14.183,956400
2006-08-07,35.57,35.85,35.51,35.76,14.1316,931000
2006-08-08,35.64,35.79,35.19,35.19,13.9063,689200
2006-08-09,35.6,35.61,34.82,34.82,13.7601,1684800
2006-08-10,34.89,35.66,34.86,35.62,14.0763,1283200
2006-08-11,35.62,35.64,35.41,35.41,13.9933,292000
2006-08-14,35.78,36,35.64,35.68,14.1,192800
2006-08-15,36.04,36.41,35.99,36.41,14.3885,562000
2006-08-16,36.61,37.24,36.45,37.11,14.6651,1124800
2006-08-17,37.14,37.66,37.12,37.32,14.7481,844200
2006-08-18,37.5,37.5,37.04,37.34,14.756,855000
2006-08-21,36.79,36.84,36.69,36.8,14.5426,423000
2006-08-22,36.77,36.77,36.52,36.61,14.4675,406200
2006-08-23,36.45,36.52,36,36.12,14.2739,1045400
2006-08-24,35.75,35.75,35.49,35.62,14.0763,642400
2006-08-25,35.53,35.57,35.32,35.51,14.0328,1491800
2006-08-28,35.85,36.14,35.85,35.86,14.1711,623200
2006-08-29,36.1,36.18,35.78,36.16,14.2897,1020000
2006-08-30,36.16,36.29,36.07,36.28,14.3371,527800
2006-08-31,36.45,36.47,36.3,36.34,14.3608,1001000
2006-09-01,36.42,36.6,36.22,36.53,14.4359,430800
2006-09-05,36.58,36.82,36.58,36.81,14.5465,532200
2006-09-06,36.62,36.65,36.33,36.34,14.3608,1118800
2006-09-07,36.37,36.68,36.1,36.41,14.3885,991400
2006-09-08,36.44,37,36.41,37,14.6216,1854400
2006-09-11,36.81,37.5199,36.7,37.39,14.7757,273200
2006-09-12,37.54,38.45,37.53,38.37,15.163,782800
2006-09-13,38.34,38.61,38.24,38.52,15.2223,1550800
2006-09-14,38.54,38.62,38.24,38.55,15.2341,1101000
2006-09-15,38.93,38.93,38.45,38.62,15.2678,742000
2006-09-18,38.56,38.87,38.41,38.7,15.2994,810200
2006-09-19,38.92,38.97,38.42,38.97,15.4061,1659800
2006-09-20,39.39,39.74,39.37,39.6,15.6552,458200
2006-09-21,39.85,39.85,38.98,39.13,15.4694,467800
2006-09-22,38.85,39.08,38.61,39.06,15.4417,1441600
2006-09-25,39.26,39.73,39.01,39.73,15.7066,1005400
2006-09-26,39.73,39.87,39.49,39.79,15.7303,368400
2006-09-27,39.84,39.99,39.49,39.64,15.671,518200
2006-09-28,39.8,39.83,39.3,39.83,15.7461,824600
2006-09-29,39.88,39.88,39.25,39.29,15.5326,983000
2006-10-02,39.29,39.76,39.17,39.3993,15.5758,197000
2006-10-03,39.21,40.03,39.18,39.96,15.7975,658000
2006-10-04,39.82,40.71,39.7,40.69,16.0861,994000
2006-10-05,40.43,40.67,40.15,40.65,16.0703,2120600
2006-10-06,40.25,40.37,40.02,40.22,15.9003,827800
2006-10-09,40.03,40.62,39.98,40.49,16.007,299200
2006-10-10,40.51,40.69,40.39,40.45,15.9912,1599400
2006-10-11,40.46,40.5999,40.34,40.4205,15.9795,89400
2006-10-12,40.6,41.34,40.6,41.33,16.3391,241400
2006-10-13,41.27,41.42,41.23,41.38,16.3589,131400
2006-10-16,41.35,41.53,41.23,41.46,16.3905,266000
2006-10-17,41.42,41.42,40.6701,41.05,16.2284,270200
2006-10-18,41.58,41.58,40.92,41.06,16.2324,725000
2006-10-19,41.1,41.27,40.79,40.87,16.1572,269400
2006-10-20,41.06,41.06,40.7,40.87,16.1572,177000
2006-10-23,40.92,41.72,40.83,41.6,16.4458,814200
2006-10-24,41.65,41.7,41.24,41.5,16.4063,633000
2006-10-25,41.6,41.66,40.97,41.16,16.2719,500600
2006-10-26,41.37,41.89,41.1,41.89,16.5605,89800
2006-10-27,41.53,41.77,41.29,41.29,16.3233,639600
2006-10-30,41.02,41.78,41.02,41.71,16.4893,519600
2006-10-31,41.9,41.9,41.2,41.39,16.3628,434200
2006-11-01,41.35,41.35,40.46,40.47,15.9991,543000
2006-11-02,39.81,40.46,39.8,40.21,15.8963,1506000
2006-11-03,40.44,40.44,39.47,39.85,15.754,307800
2006-11-06,39.96,40.44,39.96,40.3,15.9319,198400
2006-11-07,40.5,40.91,40.5,40.61,16.0545,115400
2006-11-08,40.39,40.97,40.39,40.86,16.1533,294200
2006-11-09,41.04,41.04,40.48,40.58,16.0426,657400
2006-11-10,40.79,41.3,40.72,41.29,16.3233,573200
2006-11-13,41.33,41.68,41.03,41.03,16.2205,177400
2006-11-14,41.45,41.88,41.14,41.88,16.5565,306800
2006-11-15,41.9,42.14,41.69,41.7,16.4854,598200
